,daily,temp,humidity,precip,windspeed
2017-01-07,15.54,5.8,96.8,0.209,13.5
2017-01-08,18.233,8.8,92.1,0.119,23.5
2017-01-09,11.05,6.7,87.5,5.97,35.1
2017-01-10,4.11,7.0,81.7,2.933,35.0
2017-01-11,9.17,5.2,75.2,1.602,50.9
2017-01-12,32.24,0.7,87.5,0.841,28.0
2017-02-08,3.27,3.3,89.8,0.276,13.6
2017-02-09,11.666,2.3,82.2,0.072,14.7
2017-02-10,2.58,1.1,88.1,1.446,16.3
2017-02-11,15.414000000000001,2.5,84.7,1.636,29.7
2017-02-12,72.13,3.3,78.8,0.793,32.1
2017-03-07,10.42,4.7,85.0,0.357,18.2
2017-03-08,11.04,7.2,83.0,2.431,41.3
2017-03-09,20.78,7.3,73.1,4.074,26.5
2017-03-10,5.56,5.2,91.2,0.335,7.5
2017-03-12,40.07,8.7,88.9,0.582,19.9
2017-04-07,3.73,9.4,76.6,0.0,20.9
2017-04-08,18.92,9.6,71.1,0.0,20.7
2017-04-09,20.33,8.6,78.8,0.052,29.1
2017-04-10,10.92,8.6,64.5,0.06,27.1
2017-04-11,75.98,9.1,77.1,0.0,41.5
2017-04-12,4.698,9.8,67.2,0.046,33.0
2017-05-08,27.75,8.7,66.2,0.0,26.0
2017-05-09,20.804000000000002,10.3,66.8,0.0,23.6
2017-05-10,14.73,8.9,73.7,0.0,20.4
2017-05-11,9.41,9.4,78.1,0.0,22.5
2017-06-08,31.21,10.8,91.5,15.044,20.4
2017-06-09,1.087,13.7,84.5,8.242,24.5
2017-06-10,13.370000000000001,14.7,81.4,3.678,24.1
2017-06-11,4.25,14.3,82.4,4.388,28.8
2017-06-12,9.46,13.5,80.6,2.263,34.7
2017-06-14,41.379999999999995,16.4,78.6,0.254,17.2
2017-06-15,3.082,14.5,76.9,2.544,28.7
2017-06-16,32.027,14.1,83.7,0.17,26.0
2017-06-20,2.5,13.5,81.5,0.0,20.2
2017-06-22,10.52,15.9,83.2,6.703,21.1
2017-06-24,2.68,12.7,69.1,0.008,37.1
2017-06-25,25.46,12.6,70.1,0.715,27.8
2017-06-26,6.97,12.5,76.0,0.008,11.9
2017-06-27,2.87,11.4,92.1,9.061,17.4
2017-06-29,11.074,11.3,88.4,15.045,18.8
2017-07-06,9.022,14.8,89.1,1.322,13.7
2017-07-07,17.706,15.5,81.3,0.109,20.7
2017-07-09,4.74,13.6,86.2,3.308,20.8
2017-07-10,8.5,12.0,92.3,5.367,13.3
2017-07-11,13.42,12.7,83.7,0.748,15.3
2017-07-12,8.01,13.9,75.1,0.01,14.5
2017-07-13,5.91,14.3,78.1,0.0,25.5
2017-07-14,21.21,14.1,76.2,0.88,21.3
2017-07-15,32.26,15.8,90.9,1.723,29.7
2017-07-16,13.969999999999999,14.6,71.9,0.0,30.5
2017-07-19,15.292,15.0,89.9,0.0,22.6
2017-07-22,11.61,14.3,92.9,5.736,22.6
2017-07-23,41.79,15.2,93.0,4.291,19.3
2017-07-24,20.37,15.8,76.8,0.047,18.6
2017-07-25,4.0,13.6,88.6,0.037,11.7
2017-07-27,1.85,13.6,80.4,1.751,27.2
2017-07-29,22.32,14.1,84.4,5.602,29.4
2017-07-30,11.62,14.2,83.5,2.395,23.2
2017-07-31,11.3,13.8,83.0,1.176,24.0
2017-08-07,4.87,13.8,80.9,1.777,22.4
2017-08-10,5.984,12.9,77.9,0.0,26.7
2017-08-11,5.55,15.1,83.8,0.459,30.1
2017-08-12,37.42,13.9,79.8,1.419,19.4
2017-08-13,4.609999999999999,12.4,75.9,0.0,17.7
2017-08-15,15.399999999999999,15.0,80.9,15.145,29.5
2017-08-16,35.472,13.7,85.6,2.343,21.8
2017-08-17,9.35,16.0,80.6,3.963,29.3
2017-08-18,21.52,13.0,88.8,6.498,28.2
2017-08-19,9.45,13.7,80.0,0.261,33.8
2017-08-20,36.055,14.1,78.5,0.168,17.1
2017-08-21,24.662,12.3,88.3,0.01,9.6
2017-08-23,16.78,16.8,85.9,9.319,17.9
2017-08-25,29.4,15.0,89.3,2.49,16.9
2017-08-27,21.36,15.1,84.6,0.082,23.8
2017-08-28,27.095,16.6,85.7,0.487,28.2
2017-08-29,9.73,11.9,82.5,0.018,25.2
2017-08-30,8.92,12.4,80.5,0.69,20.6
2017-09-06,7.65,13.1,81.2,0.152,27.1
2017-09-07,5.9,13.0,91.0,1.4,20.9
2017-09-10,22.718000000000004,11.9,88.5,2.95,26.5
2017-09-11,12.26,12.2,81.0,3.754,24.9
2017-09-12,4.906,11.8,79.0,0.408,25.2
2017-09-13,13.41,10.0,91.7,4.432,15.4
2017-09-14,2.839,11.2,76.4,2.215,23.0
2017-09-17,4.94,10.5,87.3,0.495,14.6
2017-09-20,14.8,13.6,90.3,2.459,17.0
2017-09-22,9.743,9.3,88.9,0.318,17.0
2017-09-24,20.689,13.8,87.6,2.697,11.8
2017-09-25,5.68,13.6,96.3,10.991,10.5
2017-09-26,5.91,13.8,92.0,0.0,15.1
2017-09-27,4.73,14.3,84.5,0.016,24.0
2017-09-28,19.75,14.2,82.0,5.272,16.4
2017-09-29,27.500999999999998,13.0,79.2,0.863,24.6
2017-09-30,19.257,9.9,79.3,0.399,19.1
2017-10-06,5.2,8.7,80.9,0.0,17.3
2017-10-07,19.84,13.1,84.2,0.28,26.5
2017-10-08,6.93,12.0,87.8,0.0,17.4
2017-10-09,6.655,12.7,88.7,1.12,19.7
2017-10-10,5.64,11.7,83.1,1.25,30.4
2017-10-11,14.39,12.2,86.2,4.42,29.9
2017-10-13,23.85,15.1,87.7,5.668,38.7
2017-10-14,15.03,12.4,84.0,0.042,22.1
2017-10-16,30.731,11.6,92.4,5.812,28.6
2017-10-17,10.2,12.5,84.6,1.197,52.9
2017-10-18,35.71,9.9,87.4,0.387,17.8
2017-10-19,24.944,11.8,91.4,0.903,12.2
2017-10-20,27.56,12.2,90.3,7.293,12.2
2017-10-21,36.25,11.5,88.5,4.375,20.2
2017-10-22,12.402999999999999,10.7,84.9,0.726,26.7
2017-10-23,58.964999999999996,10.1,90.3,1.834,21.2
2017-10-24,18.986,10.9,87.1,1.002,28.4
2017-10-25,3.7600000000000002,11.0,84.5,0.169,38.0
2017-10-26,11.790000000000001,10.8,81.7,0.008,25.7
2017-10-27,25.799,7.6,82.3,0.01,23.4
2017-10-28,5.6,12.7,81.7,0.016,37.9
2017-10-29,17.54,7.0,69.8,0.008,19.9
2017-10-31,8.67,12.1,93.2,1.484,28.8
2017-11-07,13.71,7.4,85.0,3.12,31.3
2017-11-09,12.17,9.7,74.2,0.726,32.6
2017-11-11,2.38,3.2,83.7,0.04,15.9
2017-11-12,21.86,4.1,70.6,0.032,21.9
2017-11-13,6.73,4.1,81.5,0.036,28.2
2017-11-14,22.77,8.2,89.9,0.408,27.7
2017-11-15,12.14,5.3,92.7,0.0,20.3
2017-11-16,10.2,6.9,79.6,2.674,29.9
2017-11-17,6.52,5.8,84.8,0.242,27.4
2017-11-18,17.85,5.0,70.2,0.073,26.4
2017-11-19,27.966,2.5,84.6,0.008,15.2
2017-11-20,36.58,5.3,99.3,6.161,12.3
2017-11-23,2.7,2.9,90.9,6.341,17.5
2017-11-24,11.559999999999999,1.0,91.3,0.754,22.8
2017-11-25,38.97,1.9,85.4,0.06,24.8
2017-11-26,32.730000000000004,3.5,83.2,0.118,20.9
2017-11-28,7.609999999999999,3.8,76.0,0.01,17.4
2017-11-29,25.450000000000003,2.8,70.2,0.008,16.8
2017-12-02,71.122,6.2,91.3,0.345,18.3
2017-12-06,29.1,10.2,85.6,2.081,40.3
2017-12-08,17.3,0.8,70.4,0.028,25.3
2017-12-09,9.89,-0.4,79.2,0.0,18.7
2017-12-10,6.215,-5.1,90.1,0.0,8.8
2017-12-11,0.822,-2.5,88.9,0.555,10.3
2017-12-12,12.06,-0.4,91.0,0.15,18.2
2017-12-15,14.0,2.5,80.8,1.318,14.2
2017-12-17,8.25,4.0,87.2,1.914,22.3
2017-12-18,13.32,3.5,91.1,0.008,21.0
2017-12-22,22.88,4.6,97.6,0.163,30.3
2017-12-23,26.63,10.9,91.8,0.125,37.3
2017-12-26,6.874,1.0,93.7,4.646,13.2
2017-12-27,11.39,0.1,79.4,0.018,24.7
2017-12-29,4.395,-1.1,95.6,0.137,15.7
2017-12-30,30.83,2.4,94.1,2.224,25.7
2017-12-31,53.741,5.1,88.5,6.633,56.1
2018-01-01,5.38,3.4,92.0,11.374,20.8
2018-01-02,9.66,2.8,93.0,5.191,19.2
2018-01-04,12.39,3.6,97.7,3.794,8.7
2018-01-05,43.399,2.4,97.7,12.284,13.5
2018-01-06,1.487,1.9,79.1,2.001,18.5
2018-01-07,51.228,-3.3,90.1,0.801,6.8
2018-01-09,36.45,3.4,89.9,0.111,19.7
2018-01-10,73.944,2.7,96.1,0.303,11.4
2018-01-11,62.444,2.3,95.6,0.008,6.1
2018-01-12,19.200000000000003,4.1,88.1,0.01,12.1
2018-01-13,6.79,4.5,84.7,0.221,16.4
2018-01-14,17.07,5.8,84.9,1.332,37.2
2018-01-15,9.4,5.1,89.7,5.092,34.7
2018-01-16,24.78,0.6,94.2,1.285,27.5
2018-01-18,4.76,1.1,93.1,15.759,17.1
2018-01-19,9.3,1.0,93.1,19.919,22.5
2018-01-20,44.51,-1.0,90.7,1.663,17.3
2018-01-21,41.919999999999995,-1.6,93.6,20.539,12.9
2018-01-22,12.64,5.1,89.2,1.418,26.0
2018-01-23,6.61,7.7,88.5,6.701,35.1
2018-01-24,6.23,6.6,83.8,15.408,51.2
2018-01-27,12.76,7.8,82.3,2.472,42.1
2018-01-28,80.0,8.9,88.5,0.966,46.4
2018-01-29,5.8,6.1,79.5,7.815,42.2
2018-01-31,4.198,2.7,88.9,7.516,35.5
2018-02-01,9.12,4.3,70.9,0.268,25.2
2018-02-02,4.57,4.0,74.3,0.02,17.6
2018-02-03,12.18,2.4,96.4,4.488,5.5
2018-02-04,30.034,3.2,93.1,1.68,6.0
2018-02-05,44.075,1.8,84.2,0.0,14.2
2018-02-06,26.759,0.9,80.4,1.135,14.8
2018-02-08,18.17,5.4,89.4,0.501,24.7
2018-02-09,13.31,2.3,80.3,0.313,20.4
2018-02-10,23.1,4.5,86.0,2.153,26.4
2018-02-11,31.382,1.8,78.1,2.484,25.8
2018-02-13,7.92,2.9,79.2,2.023,22.5
2018-02-16,20.25,4.5,82.5,0.678,24.9
2018-02-17,26.89,4.6,86.5,1.049,23.9
2018-02-20,5.08,5.8,75.8,0.491,17.9
2018-02-21,4.299,2.2,86.8,0.0,7.8
2018-02-22,17.73,1.9,84.7,0.137,14.5
2018-02-23,23.039,1.9,74.6,0.0,16.2
2018-02-24,10.33,1.9,74.1,0.0,18.7
2018-02-25,20.889,1.3,77.8,0.0,17.1
2018-02-26,3.368,1.0,74.7,0.173,20.0
2018-02-27,13.33,-0.2,80.5,0.945,25.3
2018-03-01,41.695,-1.9,85.8,34.125,38.7
2018-03-02,8.13,0.2,83.2,60.714,36.0
2018-03-04,8.07,1.4,87.9,2.182,19.7
2018-03-05,26.136,2.4,98.5,21.82,20.3
2018-03-06,13.14,2.4,97.0,12.199,23.7
2018-03-07,7.11,2.7,91.6,9.018,12.5
2018-03-08,23.98,2.8,86.6,0.775,18.0
2018-03-09,36.513,3.4,82.1,0.77,28.4
2018-03-10,26.534,3.2,96.3,8.848,24.6
2018-03-11,27.84,5.3,96.2,7.803,8.0
2018-03-12,27.041,5.0,90.8,0.984,7.7
2018-03-13,7.79,5.1,86.3,0.089,11.0
2018-03-14,2.53,5.1,81.1,0.0,26.3
2018-03-15,17.88,5.3,86.6,4.673,34.8
2018-03-16,28.033,3.7,88.9,10.03,33.1
2018-03-17,22.04,0.7,72.4,0.561,38.3
2018-03-20,34.902,2.9,67.1,0.0,12.1
2018-03-21,29.63,5.9,82.8,0.026,36.1
2018-03-23,27.707,7.2,80.4,9.409,37.7
2018-03-24,23.2,5.3,76.5,0.026,22.7
2018-03-25,28.54,5.5,76.0,0.073,22.6
2018-03-26,11.8,4.4,73.5,0.01,12.9
2018-03-27,28.4,5.9,89.0,2.585,21.2
2018-03-28,7.03,4.6,82.1,1.282,21.4
2018-03-29,16.166,2.4,86.9,0.172,25.1
2018-03-31,39.69,3.3,88.5,3.36,26.1
2018-04-01,9.934000000000001,2.9,74.0,0.055,12.0
2018-04-02,2.477,1.3,89.6,2.555,30.3
2018-04-04,27.56,1.6,96.1,11.28,20.2
2018-04-05,42.181,3.9,75.1,8.366,26.3
2018-04-06,4.21,6.5,79.1,0.661,24.1
