,daily,temp,humidity,precip,windspeed
2016-10-04,15.83,11.4,85.8,0.0,17.5
2016-10-09,88.61,7.5,87.8,0.146,9.3
2016-10-10,99.075,6.3,92.0,0.101,12.2
2016-10-11,111.96,9.8,89.0,1.869,21.2
2016-10-12,88.90100000000001,9.7,87.7,1.039,17.8
2016-10-13,68.003,9.7,87.6,3.183,23.1
2016-10-14,149.025,10.1,90.0,6.466,17.6
2016-10-15,102.39,10.4,94.8,4.769,22.1
2016-10-16,94.07,9.4,90.5,1.714,18.1
2016-10-17,75.54,11.1,86.4,3.272,23.9
2016-10-18,75.94500000000001,8.6,83.2,6.369,21.3
2016-10-19,83.35,9.1,84.0,0.045,11.4
2016-10-20,101.04,8.0,89.6,0.091,6.2
2016-10-21,99.12,7.5,93.8,0.101,7.0
2016-10-22,98.53,6.6,94.0,0.959,11.1
2016-10-23,142.261,7.1,89.6,1.876,17.6
2016-10-24,146.7,6.3,93.0,1.436,10.3
2016-10-25,151.814,6.6,90.8,0.089,10.2
2016-10-26,58.247,11.5,83.6,0.198,30.8
2016-10-27,146.71099999999998,12.1,85.0,0.228,34.2
2016-10-28,98.982,9.6,75.8,0.151,25.7
2016-10-29,90.888,9.6,93.1,0.05,15.8
2016-10-30,124.36,11.5,87.1,0.081,18.3
2016-10-31,33.7,11.1,89.3,0.101,13.5
2016-11-09,54.357,2.8,92.6,2.158,9.8
2016-11-10,49.48,3.4,87.9,4.956,15.7
2016-11-11,173.39100000000002,2.8,89.4,0.018,14.7
2016-11-12,82.3,8.1,89.1,3.786,18.3
2016-11-13,157.95,6.1,93.8,2.462,22.9
2016-11-14,55.59,12.8,91.7,1.381,29.4
2016-11-15,138.177,10.4,81.3,0.081,33.5
2016-11-16,123.354,6.7,83.5,2.598,38.1
2016-11-17,144.37,3.3,91.0,9.775,24.3
2016-11-18,145.839,0.9,92.8,0.774,12.0
2016-11-19,154.19,0.8,92.8,0.331,14.5
2016-11-20,192.999,-0.2,96.0,0.053,8.5
2016-11-21,93.342,-1.1,92.5,0.036,24.3
2016-11-22,140.791,4.4,81.4,1.987,26.0
2016-11-23,135.384,-0.8,90.6,0.111,7.4
2016-11-24,217.96,-2.6,91.4,0.053,6.0
2016-11-25,118.891,-1.1,91.8,0.192,11.5
