,daily,temp,humidity,precip,windspeed
2016-10-09,19.060000000000002,7.5,87.8,0.146,9.3
2016-10-10,3.7,6.3,92.0,0.101,12.2
2016-10-14,6.19,10.1,90.0,6.466,17.6
2016-10-15,10.3,10.4,94.8,4.769,22.1
2016-10-17,29.43,11.1,86.4,3.272,23.9
2016-10-19,12.205,9.1,84.0,0.045,11.4
2016-10-20,27.691,8.0,89.6,0.091,6.2
2016-10-21,31.03,7.5,93.8,0.101,7.0
2016-10-23,15.735,7.1,89.6,1.876,17.6
2016-11-09,27.34,2.8,92.6,2.158,9.8
2016-11-10,7.56,3.4,87.9,4.956,15.7
2016-12-09,6.1,10.4,89.6,2.389,27.5
2016-12-10,7.880000000000001,8.5,85.4,0.556,32.3
2017-01-03,30.89,7.2,81.0,0.0,30.4
2017-01-04,20.53,4.0,65.9,0.0,14.7
2017-01-05,82.92699999999999,-1.2,85.7,0.01,8.5
2017-01-06,41.118,6.7,92.6,1.229,19.1
2017-01-07,37.05,5.8,96.8,0.209,13.5
2017-01-08,17.21,8.8,92.1,0.119,23.5
2017-01-09,28.557,6.7,87.5,5.97,35.1
2017-01-10,47.51,7.0,81.7,2.933,35.0
2017-01-11,68.821,5.2,75.2,1.602,50.9
2017-01-12,20.28,0.7,87.5,0.841,28.0
2017-01-14,25.213,1.5,82.2,0.008,17.6
2017-01-15,7.64,7.0,94.4,2.473,17.9
2017-01-16,26.36,8.4,92.7,0.41,13.5
2017-01-18,5.59,8.1,85.6,0.016,23.9
2017-01-19,6.66,7.2,83.4,0.0,18.8
2017-01-20,11.899000000000001,5.0,89.7,0.01,11.5
2017-01-21,27.32,1.2,96.8,0.018,6.4
2017-01-23,17.52,3.5,85.9,0.008,13.6
2017-01-24,21.47,8.2,88.2,0.26,25.7
2017-01-25,36.86,8.6,77.3,0.343,29.7
2017-01-26,21.49,0.7,83.8,0.0,13.5
2017-01-27,0.0,-1.2,89.2,0.044,7.6
2017-01-28,11.48,1.8,96.1,6.593,20.3
2017-01-29,20.767,1.7,91.7,0.444,16.4
2017-01-30,19.759999999999998,1.0,92.8,0.192,12.4
2017-02-02,2.23,9.4,83.2,0.888,29.0
2017-02-03,15.69,8.2,78.2,1.268,30.1
2017-02-04,48.691,4.8,86.8,7.849,30.4
2017-02-05,73.10000000000001,2.9,88.8,1.36,10.6
2017-02-06,43.408,2.0,89.2,0.623,20.7
2017-02-07,31.36,2.8,95.7,14.049,14.2
2017-02-08,54.040000000000006,3.3,89.8,0.276,13.6
2017-02-09,23.024,2.3,82.2,0.072,14.7
2017-02-10,54.35,1.1,88.1,1.446,16.3
2017-02-11,28.905,2.5,84.7,1.636,29.7
2017-02-12,79.16,3.3,78.8,0.793,32.1
2017-02-13,16.34,4.7,86.2,0.43,25.8
2017-02-14,27.089,5.6,83.3,0.0,25.0
2017-02-16,7.78,8.2,85.8,0.846,31.0
2017-02-17,7.3,5.0,92.6,0.155,8.8
2017-02-18,41.02,9.4,87.6,0.874,30.0
2017-02-19,21.9,9.5,88.1,0.034,29.1
2017-02-20,22.82,10.5,77.3,0.181,39.3
2017-02-21,18.61,7.9,81.8,0.794,36.2
2017-02-22,10.56,6.1,72.3,2.573,38.3
2017-02-23,10.859,2.5,91.7,17.72,31.3
2017-02-24,48.204,3.3,86.0,0.488,20.3
2017-02-26,29.03,6.4,85.5,10.539,38.1
2017-02-27,14.59,3.3,80.0,1.966,22.7
2017-02-28,12.625,2.4,78.3,0.034,13.4
2017-03-02,18.553,3.5,78.2,0.152,31.5
2017-03-03,17.427,2.7,88.5,0.153,20.1
2017-03-04,50.940000000000005,4.7,96.4,13.167,25.5
2017-03-05,14.48,4.5,92.0,3.593,7.9
2017-03-06,7.77,4.5,89.3,0.689,9.3
2017-03-07,54.189,4.7,85.0,0.357,18.2
2017-03-08,15.8,7.2,83.0,2.431,41.3
2017-03-09,25.56,7.3,73.1,4.074,26.5
2017-03-10,138.115,5.2,91.2,0.335,7.5
2017-03-11,28.701,9.5,89.8,0.935,18.5
2017-03-12,31.43,8.7,88.9,0.582,19.9
2017-03-13,71.89,8.8,75.9,0.016,30.8
2017-03-14,47.195,9.9,72.1,0.079,52.0
2017-03-15,34.739999999999995,8.7,78.3,0.046,34.1
2017-03-16,39.01,8.2,78.8,0.745,41.0
2017-03-17,61.56,6.6,89.7,2.196,32.2
2017-03-18,86.543,7.2,91.5,3.662,16.6
2017-03-19,3.16,9.1,81.6,4.717,33.9
2017-03-20,59.36,5.9,80.5,2.614,36.0
2017-03-21,24.39,2.6,85.0,3.007,36.2
2017-03-22,48.230000000000004,1.9,84.9,1.065,32.0
2017-03-23,100.20700000000001,5.3,77.4,1.537,28.7
