,daily,temp,humidity,precip,windspeed
2016-10-03,14.26,8.2,84.2,0.044,14.9
2016-10-04,19.02,11.4,85.8,0.0,17.5
2016-10-05,22.94,12.6,77.5,0.0,24.6
2016-10-06,22.42,10.5,80.7,0.0,23.6
2016-10-07,0.0,11.4,81.3,0.0,17.8
2016-10-08,20.23,10.5,83.8,0.0,15.8
2016-10-10,30.54,6.3,92.0,0.101,12.2
2016-10-11,21.14,9.8,89.0,1.869,21.2
2016-10-12,11.88,9.7,87.7,1.039,17.8
2016-10-13,22.62,9.7,87.6,3.183,23.1
2016-10-14,32.88,10.1,90.0,6.466,17.6
2016-10-17,35.67,11.1,86.4,3.272,23.9
2016-10-18,27.9,8.6,83.2,6.369,21.3
2016-10-19,13.93,9.1,84.0,0.045,11.4
2016-10-20,23.39,8.0,89.6,0.091,6.2
2016-10-21,45.96,7.5,93.8,0.101,7.0
2016-10-22,18.72,6.6,94.0,0.959,11.1
2016-10-23,16.85,7.1,89.6,1.876,17.6
2016-10-24,35.510000000000005,6.3,93.0,1.436,10.3
2016-10-25,22.73,6.6,90.8,0.089,10.2
2016-10-26,15.77,11.5,83.6,0.198,30.8
2016-10-27,18.29,12.1,85.0,0.228,34.2
2016-10-28,10.25,9.6,75.8,0.151,25.7
2016-10-30,14.25,11.5,87.1,0.081,18.3
2016-10-31,16.74,11.1,89.3,0.101,13.5
2016-11-01,35.93,5.9,81.4,4.077,14.2
2016-11-02,25.96,5.5,81.2,0.01,14.4
2016-11-03,19.64,6.7,91.1,0.714,18.5
2016-11-06,25.23,5.1,74.5,0.036,22.4
2016-11-07,24.3,4.4,74.4,0.0,14.2
2016-11-08,37.43,2.9,82.7,0.12,9.6
2016-11-09,21.36,2.8,92.6,2.158,9.8
2016-11-10,21.71,3.4,87.9,4.956,15.7
2016-11-11,41.059999999999995,2.8,89.4,0.018,14.7
2016-11-13,9.94,6.1,93.8,2.462,22.9
2016-11-14,19.82,12.8,91.7,1.381,29.4
2016-11-15,19.02,10.4,81.3,0.081,33.5
2016-11-16,41.47,6.7,83.5,2.598,38.1
2016-11-17,26.6,3.3,91.0,9.775,24.3
2016-11-18,11.100000000000001,0.9,92.8,0.774,12.0
2016-11-19,16.82,0.8,92.8,0.331,14.5
2016-11-20,28.47,-0.2,96.0,0.053,8.5
2016-11-21,35.19,-1.1,92.5,0.036,24.3
2016-11-22,37.03,4.4,81.4,1.987,26.0
2016-11-23,37.41,-0.8,90.6,0.111,7.4
2016-11-24,60.04,-2.6,91.4,0.053,6.0
2016-11-25,38.22,-1.1,91.8,0.192,11.5
2016-11-26,13.510000000000002,2.4,94.4,0.018,7.2
2016-11-27,33.89,4.5,89.5,0.191,10.6
2016-11-28,35.13,2.3,93.0,0.183,7.2
2016-11-29,21.78,5.3,82.4,0.008,23.9
2016-11-30,0.16,7.8,76.7,0.0,24.9
2016-12-01,23.36,9.3,72.0,0.0,23.8
2016-12-02,18.09,4.2,93.0,0.0,8.4
2016-12-05,25.64,-2.8,96.8,0.0,4.4
2016-12-06,19.35,1.2,98.7,0.312,6.8
2016-12-07,17.85,12.0,89.6,5.061,37.5
2016-12-08,27.22,9.9,88.7,1.029,28.0
2016-12-09,24.48,10.4,89.6,2.389,27.5
2016-12-11,7.84,8.1,84.8,0.06,24.6
2016-12-12,39.43,6.7,89.4,0.0,10.9
2016-12-13,29.060000000000002,4.9,96.2,0.241,11.0
2016-12-14,24.85,9.2,89.5,1.64,20.9
2016-12-15,41.56,8.0,91.4,0.161,12.1
2016-12-16,34.980000000000004,7.3,92.9,2.299,12.2
2016-12-17,5.79,5.7,87.1,0.018,26.1
2016-12-19,35.01,6.1,89.9,0.0,18.7
2016-12-20,44.84,3.0,92.0,0.254,29.4
2016-12-21,47.61,4.2,87.4,12.203,34.7
2016-12-22,36.199999999999996,4.2,87.5,15.401,35.7
2016-12-23,88.43,6.6,83.9,11.828,45.7
2016-12-24,5.42,5.2,85.7,10.1,41.1
2016-12-29,7.78,7.2,84.2,0.0,27.0
2016-12-30,12.030000000000001,11.0,83.5,0.0,31.5
2016-12-31,7.06,9.7,82.6,1.813,39.7
2017-01-02,1.24,1.9,81.2,0.0,18.3
2017-01-03,22.07,7.2,81.0,0.0,30.4
2017-01-04,42.63,4.0,65.9,0.0,14.7
2017-01-05,40.160000000000004,-1.2,85.7,0.01,8.5
2017-01-06,55.1,6.7,92.6,1.229,19.1
2017-01-09,19.78,6.7,87.5,5.97,35.1
2017-01-10,45.146,7.0,81.7,2.933,35.0
2017-01-11,26.810000000000002,5.2,75.2,1.602,50.9
2017-01-12,14.219999999999999,0.7,87.5,0.841,28.0
2017-01-13,42.34,1.4,73.1,0.494,34.1
2017-01-14,8.67,1.5,82.2,0.008,17.6
2017-01-15,10.02,7.0,94.4,2.473,17.9
2017-01-16,25.46,8.4,92.7,0.41,13.5
2017-01-17,17.14,9.6,93.5,0.053,19.3
2017-01-18,40.68,8.1,85.6,0.016,23.9
2017-01-19,13.709999999999999,7.2,83.4,0.0,18.8
2017-01-20,31.57,5.0,89.7,0.01,11.5
2017-01-22,8.11,1.8,95.5,0.165,13.5
2017-01-23,25.41,3.5,85.9,0.008,13.6
2017-01-24,33.120000000000005,8.2,88.2,0.26,25.7
2017-01-25,16.37,8.6,77.3,0.343,29.7
2017-01-26,19.86,0.7,83.8,0.0,13.5
2017-01-27,38.8,-1.2,89.2,0.044,7.6
2017-01-28,10.05,1.8,96.1,6.593,20.3
2017-01-29,9.91,1.7,91.7,0.444,16.4
2017-01-30,55.2,1.0,92.8,0.192,12.4
2017-01-31,19.97,6.1,90.8,3.942,16.7
2017-02-01,18.71,6.2,93.2,0.351,13.7
2017-02-02,16.46,9.4,83.2,0.888,29.0
2017-02-03,13.3,8.2,78.2,1.268,30.1
2017-02-04,5.81,4.8,86.8,7.849,30.4
2017-02-05,19.36,2.9,88.8,1.36,10.6
2017-02-06,31.4,2.0,89.2,0.623,20.7
2017-02-07,21.42,2.8,95.7,14.049,14.2
2017-02-08,34.2,3.3,89.8,0.276,13.6
2017-02-09,17.1,2.3,82.2,0.072,14.7
2017-02-10,6.39,1.1,88.1,1.446,16.3
2017-02-11,24.22,2.5,84.7,1.636,29.7
2017-02-12,34.301,3.3,78.8,0.793,32.1
2017-02-13,32.56,4.7,86.2,0.43,25.8
2017-02-14,31.22,5.6,83.3,0.0,25.0
2017-02-15,33.980000000000004,6.3,90.8,0.094,18.1
2017-02-16,15.27,8.2,85.8,0.846,31.0
2017-02-17,27.48,5.0,92.6,0.155,8.8
2017-02-18,18.26,9.4,87.6,0.874,30.0
2017-02-19,13.19,9.5,88.1,0.034,29.1
2017-02-20,35.13,10.5,77.3,0.181,39.3
2017-02-21,19.5,7.9,81.8,0.794,36.2
2017-02-22,49.980000000000004,6.1,72.3,2.573,38.3
2017-02-23,32.879999999999995,2.5,91.7,17.72,31.3
2017-02-24,16.599999999999998,3.3,86.0,0.488,20.3
2017-02-26,24.759999999999998,6.4,85.5,10.539,38.1
2017-02-27,28.080000000000002,3.3,80.0,1.966,22.7
2017-02-28,21.85,2.4,78.3,0.034,13.4
2017-03-01,45.76,2.7,78.4,0.01,14.5
2017-03-02,30.95,3.5,78.2,0.152,31.5
2017-03-03,17.02,2.7,88.5,0.153,20.1
2017-03-04,19.810000000000002,4.7,96.4,13.167,25.5
2017-03-05,4.91,4.5,92.0,3.593,7.9
2017-03-06,26.41,4.5,89.3,0.689,9.3
2017-03-07,27.5,4.7,85.0,0.357,18.2
2017-03-08,26.279000000000003,7.2,83.0,2.431,41.3
2017-03-09,32.283,7.3,73.1,4.074,26.5
2017-03-10,11.21,5.2,91.2,0.335,7.5
2017-03-11,9.67,9.5,89.8,0.935,18.5
2017-03-13,33.22,8.8,75.9,0.016,30.8
2017-03-14,38.730000000000004,9.9,72.1,0.079,52.0
2017-03-15,26.52,8.7,78.3,0.046,34.1
2017-03-16,26.560000000000002,8.2,78.8,0.745,41.0
2017-03-17,22.74,6.6,89.7,2.196,32.2
2017-03-19,12.83,9.1,81.6,4.717,33.9
2017-03-20,36.56,5.9,80.5,2.614,36.0
2017-03-21,18.84,2.6,85.0,3.007,36.2
2017-03-22,38.410000000000004,1.9,84.9,1.065,32.0
2017-03-23,33.81,5.3,77.4,1.537,28.7
2017-03-24,37.629999999999995,5.0,76.9,0.101,15.4
2017-03-27,54.290000000000006,6.4,81.2,0.0,16.7
2017-03-28,34.57,6.7,89.7,0.111,14.1
2017-03-29,19.2,8.3,95.1,2.432,16.4
2017-03-30,39.8,11.7,87.4,1.613,19.0
2017-03-31,16.96,11.7,84.3,5.071,33.5
2017-04-01,15.08,10.5,79.7,2.469,20.2
2017-04-03,16.58,8.2,79.0,0.221,30.9
2017-04-04,10.73,9.3,70.4,0.595,33.9
2017-04-05,36.91,9.3,66.5,0.0,27.0
2017-04-06,12.69,9.3,76.0,0.0,28.1
2017-04-07,23.92,9.4,76.6,0.0,20.9
2017-04-09,16.021,8.6,78.8,0.052,29.1
2017-04-10,31.580000000000002,8.6,64.5,0.06,27.1
2017-04-11,27.922,9.1,77.1,0.0,41.5
2017-04-12,11.692,9.8,67.2,0.046,33.0
2017-04-13,33.29,7.8,72.3,0.058,26.7
2017-04-14,22.67,7.9,77.6,0.521,24.2
2017-04-15,7.88,6.7,68.1,0.044,27.1
2017-04-16,6.63,6.1,78.4,1.362,16.9
2017-04-17,17.02,6.7,70.4,0.101,20.8
2017-04-18,25.23,4.0,70.4,0.0,14.2
2017-04-19,39.4,9.4,69.9,0.008,23.3
2017-04-20,42.58,11.9,76.0,0.008,26.2
2017-04-21,32.41,11.1,71.7,0.421,28.7
2017-04-22,11.969999999999999,7.1,62.2,0.0,14.0
2017-04-23,15.79,7.7,68.0,0.0,29.3
2017-04-24,43.03,6.6,61.5,0.374,33.5
2017-04-25,46.66,4.6,63.6,0.289,28.0
2017-04-26,29.47,5.5,57.9,0.0,13.2
2017-04-27,38.22,9.5,65.2,0.085,21.6
2017-04-28,22.07,7.6,71.4,0.184,13.3
2017-04-29,12.17,9.0,71.7,0.115,20.5
2017-05-01,27.85,9.5,81.2,0.0,26.3
2017-05-02,23.48,9.3,82.0,0.0,19.4
2017-05-03,14.45,10.3,65.7,0.0,27.0
2017-05-04,27.21,8.7,73.1,0.0,32.2
2017-05-05,46.989999999999995,8.9,70.3,0.0,29.1
2017-05-06,20.23,9.4,70.1,0.0,26.6
2017-05-07,13.9,10.3,74.2,0.0,18.4
2017-05-08,11.88,8.7,66.2,0.0,26.0
2017-05-09,14.6,10.3,66.8,0.0,23.6
2017-05-10,37.14,8.9,73.7,0.0,20.4
2017-05-11,16.59,9.4,78.1,0.0,22.5
2017-05-12,11.11,9.7,84.4,0.0,21.4
2017-05-13,22.25,10.7,92.1,2.473,28.4
2017-05-14,23.91,13.0,67.2,1.509,26.5
2017-05-15,23.38,12.1,84.2,6.104,18.8
2017-05-16,15.51,14.6,78.2,2.298,37.5
2017-05-17,24.65,11.6,72.5,0.0,19.7
2017-05-18,21.59,12.3,67.4,0.034,19.0
2017-05-19,41.08,10.3,76.9,0.0,16.3
2017-05-20,19.2,10.2,87.0,5.291,19.6
2017-05-21,0.0,11.3,79.2,0.811,22.4
2017-05-22,23.01,12.4,83.5,0.617,17.6
2017-05-23,10.95,11.7,81.5,5.301,22.9
2017-05-24,23.46,16.0,82.9,0.347,23.4
2017-05-25,27.18,18.7,76.1,0.0,14.2
2017-05-26,35.5,18.9,74.0,0.0,15.9
2017-05-27,18.75,15.8,85.2,1.287,15.9
2017-05-28,7.03,16.7,77.4,2.682,20.1
2017-05-29,26.72,11.6,85.3,0.263,16.9
2017-05-30,32.65,12.8,82.2,4.187,32.4
2017-05-31,12.98,12.9,66.7,0.0,15.8
2017-06-01,29.41,14.6,78.8,0.336,23.5
2017-06-02,34.81,14.6,72.8,0.878,19.1
2017-06-03,16.16,11.7,77.6,2.249,16.0
2017-06-05,32.099999999999994,11.8,87.5,11.699,17.8
2017-06-06,42.7,11.0,94.0,36.744,18.8
2017-06-07,14.36,12.5,62.7,10.73,30.0
2017-06-08,23.25,10.8,91.5,15.044,20.4
2017-06-09,26.560000000000002,13.7,84.5,8.242,24.5
2017-06-10,11.064,14.7,81.4,3.678,24.1
2017-06-11,32.49,14.3,82.4,4.388,28.8
2017-06-12,8.15,13.5,80.6,2.263,34.7
2017-06-13,8.71,14.4,83.0,0.488,25.4
2017-06-14,19.49,16.4,78.6,0.254,17.2
2017-06-15,33.12,14.5,76.9,2.544,28.7
2017-06-16,30.14,14.1,83.7,0.17,26.0
2017-06-17,12.09,18.8,79.6,0.0,26.3
2017-06-19,31.57,17.2,79.1,0.0,22.3
2017-06-20,29.88,13.5,81.5,0.0,20.2
2017-06-21,23.65,15.0,89.7,1.096,11.9
2017-06-22,19.97,15.9,83.2,6.703,21.1
2017-06-23,37.25,14.5,75.6,1.248,33.9
2017-06-24,24.509999999999998,12.7,69.1,0.008,37.1
2017-06-25,7.74,12.6,70.1,0.715,27.8
2017-06-26,42.4,12.5,76.0,0.008,11.9
2017-06-27,21.75,11.4,92.1,9.061,17.4
2017-06-28,31.520000000000003,12.1,82.8,3.334,25.8
2017-06-29,19.84,11.3,88.4,15.045,18.8
2017-07-01,24.44,14.2,81.0,0.13,32.3
2017-07-03,11.7,13.9,71.4,0.262,21.3
2017-07-04,12.67,11.3,92.5,5.18,17.6
2017-07-06,19.39,14.8,89.1,1.322,13.7
2017-07-08,15.399,13.7,67.8,0.0,25.4
2017-07-09,9.31,13.6,86.2,3.308,20.8
2017-07-10,3.873,12.0,92.3,5.367,13.3
2017-07-12,12.67,13.9,75.1,0.01,14.5
2017-07-13,8.57,14.3,78.1,0.0,25.5
2017-07-14,8.69,14.1,76.2,0.88,21.3
2017-07-15,11.248,15.8,90.9,1.723,29.7
2017-07-17,11.721,16.8,69.8,0.0,31.3
2017-07-22,12.214,14.3,92.9,5.736,22.6
2017-07-23,23.984,15.2,93.0,4.291,19.3
2017-07-30,6.426,14.2,83.5,2.395,23.2
2017-07-31,5.709,13.8,83.0,1.176,24.0
2017-08-01,18.675,12.8,88.5,5.813,23.6
2017-08-02,9.06,13.3,89.3,3.192,19.0
2017-08-04,10.368,14.4,86.6,6.925,20.7
2017-08-05,13.870000000000001,13.5,79.6,2.876,18.4
2017-08-06,20.73,12.2,85.2,2.172,17.5
2017-08-07,11.314,13.8,80.9,1.777,22.4
2017-08-09,11.88,13.9,71.8,0.0,18.3
2017-08-10,4.135,12.9,77.9,0.0,26.7
2017-08-11,0.17,15.1,83.8,0.459,30.1
2017-08-12,24.439999999999998,13.9,79.8,1.419,19.4
2017-08-14,17.928,13.5,88.8,8.28,17.3
2017-08-18,15.747,13.0,88.8,6.498,28.2
2017-08-19,5.74,13.7,80.0,0.261,33.8
2017-08-21,1.84,12.3,88.3,0.01,9.6
2017-08-22,8.74,15.3,93.7,2.19,13.5
2017-08-28,30.25,16.6,85.7,0.487,28.2
2017-09-01,61.72,12.8,81.4,0.432,11.7
2017-09-03,0.7,12.5,83.9,0.525,16.8
2017-09-04,42.57,14.7,94.1,7.602,17.4
2017-09-05,13.02,13.1,84.8,0.467,25.2
