,daily,temp,humidity,precip,windspeed
2016-12-21,1.153,4.2,87.4,12.203,34.7
2016-12-23,11.86,6.6,83.9,11.828,45.7
2016-12-30,2.6,11.0,83.5,0.0,31.5
2017-01-02,13.063,1.9,81.2,0.0,18.3
2017-01-03,2.486,7.2,81.0,0.0,30.4
2017-01-04,12.664,4.0,65.9,0.0,14.7
2017-01-05,13.06,-1.2,85.7,0.01,8.5
2017-01-06,34.231,6.7,92.6,1.229,19.1
2017-01-07,27.807,5.8,96.8,0.209,13.5
2017-01-08,14.387,8.8,92.1,0.119,23.5
2017-01-09,46.591,6.7,87.5,5.97,35.1
2017-01-11,42.675,5.2,75.2,1.602,50.9
2017-01-12,43.177,0.7,87.5,0.841,28.0
2017-01-13,0.285,1.4,73.1,0.494,34.1
2017-01-14,3.88,1.5,82.2,0.008,17.6
2017-01-15,22.15,7.0,94.4,2.473,17.9
2017-01-16,12.15,8.4,92.7,0.41,13.5
2017-01-17,15.217,9.6,93.5,0.053,19.3
2017-01-20,16.713,5.0,89.7,0.01,11.5
2017-01-21,5.434,1.2,96.8,0.018,6.4
2017-01-22,2.393,1.8,95.5,0.165,13.5
2017-01-25,17.963,8.6,77.3,0.343,29.7
2017-01-26,28.206000000000003,0.7,83.8,0.0,13.5
2017-01-27,27.341,-1.2,89.2,0.044,7.6
2017-01-28,32.391,1.8,96.1,6.593,20.3
2017-01-29,2.33,1.7,91.7,0.444,16.4
2017-01-30,21.342,1.0,92.8,0.192,12.4
2017-01-31,24.919,6.1,90.8,3.942,16.7
2017-02-01,5.991,6.2,93.2,0.351,13.7
2017-02-02,40.206,9.4,83.2,0.888,29.0
2017-02-03,39.14,8.2,78.2,1.268,30.1
2017-02-04,3.195,4.8,86.8,7.849,30.4
2017-02-05,22.712,2.9,88.8,1.36,10.6
2017-02-06,21.607,2.0,89.2,0.623,20.7
2017-02-07,18.988,2.8,95.7,14.049,14.2
2017-02-08,76.083,3.3,89.8,0.276,13.6
2017-02-09,12.269,2.3,82.2,0.072,14.7
2017-02-10,44.580999999999996,1.1,88.1,1.446,16.3
2017-02-11,20.841,2.5,84.7,1.636,29.7
2017-02-12,33.495,3.3,78.8,0.793,32.1
2017-02-13,8.375,4.7,86.2,0.43,25.8
2017-02-14,5.96,5.6,83.3,0.0,25.0
2017-02-15,11.0,6.3,90.8,0.094,18.1
2017-02-16,36.096000000000004,8.2,85.8,0.846,31.0
2017-02-17,17.191000000000003,5.0,92.6,0.155,8.8
2017-02-18,0.966,9.4,87.6,0.874,30.0
2017-02-20,30.837,10.5,77.3,0.181,39.3
2017-02-21,16.316,7.9,81.8,0.794,36.2
2017-02-22,20.173,6.1,72.3,2.573,38.3
2017-02-23,25.411,2.5,91.7,17.72,31.3
2017-02-24,38.34,3.3,86.0,0.488,20.3
2017-02-25,17.125,7.9,84.3,7.305,41.5
2017-02-26,7.38,6.4,85.5,10.539,38.1
2017-02-27,31.046,3.3,80.0,1.966,22.7
2017-02-28,32.272,2.4,78.3,0.034,13.4
2017-03-01,15.082,2.7,78.4,0.01,14.5
2017-03-02,21.974,3.5,78.2,0.152,31.5
