,daily,temp,humidity,precip,windspeed
2016-10-08,10.58,10.5,83.8,0.0,15.8
2016-10-09,4.57,7.5,87.8,0.146,9.3
2016-10-10,92.19500000000001,6.3,92.0,0.101,12.2
2016-10-11,13.62,9.8,89.0,1.869,21.2
2016-10-13,66.696,9.7,87.6,3.183,23.1
2016-10-14,33.26,10.1,90.0,6.466,17.6
2016-10-15,7.87,10.4,94.8,4.769,22.1
2016-10-16,9.370999999999999,9.4,90.5,1.714,18.1
2016-10-18,46.351,8.6,83.2,6.369,21.3
2016-10-19,20.321,9.1,84.0,0.045,11.4
2016-10-20,4.088,8.0,89.6,0.091,6.2
2016-10-21,61.339,7.5,93.8,0.101,7.0
2016-10-22,2.52,6.6,94.0,0.959,11.1
2016-10-23,16.33,7.1,89.6,1.876,17.6
2016-10-24,53.47,6.3,93.0,1.436,10.3
2016-10-25,85.219,6.6,90.8,0.089,10.2
2016-10-27,92.281,12.1,85.0,0.228,34.2
2016-10-28,20.9,9.6,75.8,0.151,25.7
2016-10-29,12.280000000000001,9.6,93.1,0.05,15.8
2016-10-30,50.358000000000004,11.5,87.1,0.081,18.3
2016-10-31,22.274,11.1,89.3,0.101,13.5
2016-11-09,48.336,2.8,92.6,2.158,9.8
2016-11-10,18.223,3.4,87.9,4.956,15.7
2016-11-11,18.41,2.8,89.4,0.018,14.7
2016-11-12,35.607,8.1,89.1,3.786,18.3
2016-11-13,30.957,6.1,93.8,2.462,22.9
2016-11-14,19.481,12.8,91.7,1.381,29.4
2016-11-15,15.75,10.4,81.3,0.081,33.5
2016-11-17,22.086,3.3,91.0,9.775,24.3
2016-11-18,49.989999999999995,0.9,92.8,0.774,12.0
2016-11-19,64.826,0.8,92.8,0.331,14.5
2016-11-20,11.48,-0.2,96.0,0.053,8.5
2016-11-21,30.46,-1.1,92.5,0.036,24.3
2016-11-22,35.1,4.4,81.4,1.987,26.0
2016-11-23,6.775,-0.8,90.6,0.111,7.4
2016-11-24,38.203,-2.6,91.4,0.053,6.0
2016-11-25,42.094,-1.1,91.8,0.192,11.5
2016-11-26,21.490000000000002,2.4,94.4,0.018,7.2
2016-11-27,10.32,4.5,89.5,0.191,10.6
2016-11-29,78.663,5.3,82.4,0.008,23.9
2016-11-30,49.333,7.8,76.7,0.0,24.9
2016-12-09,22.21,10.4,89.6,2.389,27.5
2016-12-10,40.271,8.5,85.4,0.556,32.3
2016-12-11,11.073,8.1,84.8,0.06,24.6
2016-12-12,47.428,6.7,89.4,0.0,10.9
2016-12-13,96.62899999999999,4.9,96.2,0.241,11.0
2016-12-14,12.268,9.2,89.5,1.64,20.9
2016-12-15,9.214,8.0,91.4,0.161,12.1
2016-12-16,36.96,7.3,92.9,2.299,12.2
2016-12-17,31.911,5.7,87.1,0.018,26.1
2016-12-18,1.998,8.2,90.0,0.807,21.9
2016-12-19,43.507,6.1,89.9,0.0,18.7
2016-12-20,54.899,3.0,92.0,0.254,29.4
