,daily,temp,humidity,precip,windspeed
2016-10-09,46.13,7.5,87.8,0.146,9.3
2016-10-10,47.09,6.3,92.0,0.101,12.2
2016-10-11,66.387,9.8,89.0,1.869,21.2
2016-10-12,20.37,9.7,87.7,1.039,17.8
2016-10-13,6.54,9.7,87.6,3.183,23.1
2016-10-14,60.2,10.1,90.0,6.466,17.6
2016-10-15,36.870000000000005,10.4,94.8,4.769,22.1
2016-10-16,74.718,9.4,90.5,1.714,18.1
2016-10-17,42.479,11.1,86.4,3.272,23.9
2016-10-18,89.73,8.6,83.2,6.369,21.3
2016-10-19,46.862,9.1,84.0,0.045,11.4
2016-10-20,84.549,8.0,89.6,0.091,6.2
2016-10-21,52.370000000000005,7.5,93.8,0.101,7.0
2016-10-22,25.65,6.6,94.0,0.959,11.1
2016-10-23,44.2,7.1,89.6,1.876,17.6
2016-10-24,98.82,6.3,93.0,1.436,10.3
2016-10-25,93.06,6.6,90.8,0.089,10.2
2016-10-26,142.02100000000002,11.5,83.6,0.198,30.8
2016-10-27,8.171,12.1,85.0,0.228,34.2
2016-10-28,93.955,9.6,75.8,0.151,25.7
2016-10-29,101.798,9.6,93.1,0.05,15.8
2016-10-30,67.19,11.5,87.1,0.081,18.3
2016-10-31,90.718,11.1,89.3,0.101,13.5
2016-11-09,28.0,2.8,92.6,2.158,9.8
2016-11-10,106.401,3.4,87.9,4.956,15.7
2016-11-11,56.344,2.8,89.4,0.018,14.7
2016-11-12,13.95,8.1,89.1,3.786,18.3
2016-11-13,46.33,6.1,93.8,2.462,22.9
2016-11-14,85.91,12.8,91.7,1.381,29.4
2016-11-15,30.57,10.4,81.3,0.081,33.5
2016-11-16,79.15,6.7,83.5,2.598,38.1
2016-11-17,87.41,3.3,91.0,9.775,24.3
2016-11-18,80.939,0.9,92.8,0.774,12.0
2016-11-19,19.659,0.8,92.8,0.331,14.5
2016-11-20,19.24,-0.2,96.0,0.053,8.5
2016-11-21,73.948,-1.1,92.5,0.036,24.3
2016-11-22,114.158,4.4,81.4,1.987,26.0
2016-11-23,57.364,-0.8,90.6,0.111,7.4
2016-11-24,115.30000000000001,-2.6,91.4,0.053,6.0
2016-11-25,87.961,-1.1,91.8,0.192,11.5
2016-11-26,92.42,2.4,94.4,0.018,7.2
2016-11-27,54.759,4.5,89.5,0.191,10.6
2016-11-28,86.97,2.3,93.0,0.183,7.2
2016-11-29,97.685,5.3,82.4,0.008,23.9
2016-11-30,64.58,7.8,76.7,0.0,24.9
2016-12-09,37.55,10.4,89.6,2.389,27.5
2016-12-10,73.57,8.5,85.4,0.556,32.3
2016-12-11,43.54,8.1,84.8,0.06,24.6
2016-12-12,93.50200000000001,6.7,89.4,0.0,10.9
2016-12-13,25.059,4.9,96.2,0.241,11.0
2016-12-14,27.200000000000003,9.2,89.5,1.64,20.9
2016-12-15,9.66,8.0,91.4,0.161,12.1
2016-12-16,48.735,7.3,92.9,2.299,12.2
2016-12-17,37.387,5.7,87.1,0.018,26.1
2016-12-18,26.366,8.2,90.0,0.807,21.9
2016-12-19,43.989999999999995,6.1,89.9,0.0,18.7
2016-12-20,23.671,3.0,92.0,0.254,29.4
2016-12-21,36.849999999999994,4.2,87.4,12.203,34.7
2016-12-22,68.084,4.2,87.5,15.401,35.7
2016-12-23,18.54,6.6,83.9,11.828,45.7
2016-12-24,66.22500000000001,5.2,85.7,10.1,41.1
2016-12-26,38.78,4.2,81.0,10.371,37.2
2016-12-27,51.22,5.6,81.5,0.0,23.2
2016-12-28,66.87,6.5,85.2,0.0,19.1
2016-12-29,81.151,7.2,84.2,0.0,27.0
2016-12-30,32.67,11.0,83.5,0.0,31.5
2016-12-31,37.269999999999996,9.7,82.6,1.813,39.7
2017-01-01,23.64,3.2,77.1,1.706,22.7
2017-01-02,56.632999999999996,1.9,81.2,0.0,18.3
2017-01-03,87.304,7.2,81.0,0.0,30.4
2017-01-04,99.911,4.0,65.9,0.0,14.7
2017-01-05,70.14,-1.2,85.7,0.01,8.5
2017-01-06,34.370000000000005,6.7,92.6,1.229,19.1
2017-01-07,25.68,5.8,96.8,0.209,13.5
2017-01-08,8.73,8.8,92.1,0.119,23.5
2017-01-09,51.39,6.7,87.5,5.97,35.1
2017-01-10,47.230000000000004,7.0,81.7,2.933,35.0
2017-01-11,46.905,5.2,75.2,1.602,50.9
2017-01-12,102.57,0.7,87.5,0.841,28.0
2017-01-13,76.08,1.4,73.1,0.494,34.1
2017-01-14,60.999,1.5,82.2,0.008,17.6
2017-01-15,61.16,7.0,94.4,2.473,17.9
