,daily,temp,humidity,precip,windspeed
2016-10-09,7.53,7.5,87.8,0.146,9.3
2016-10-10,28.89,6.3,92.0,0.101,12.2
2016-10-11,25.35,9.8,89.0,1.869,21.2
2016-10-12,40.730000000000004,9.7,87.7,1.039,17.8
2016-10-13,42.69,9.7,87.6,3.183,23.1
2016-10-14,34.63,10.1,90.0,6.466,17.6
2016-10-15,61.06,10.4,94.8,4.769,22.1
2016-10-16,27.515,9.4,90.5,1.714,18.1
2016-10-17,7.44,11.1,86.4,3.272,23.9
2016-10-18,15.17,8.6,83.2,6.369,21.3
2016-10-19,18.63,9.1,84.0,0.045,11.4
2016-10-20,12.780999999999999,8.0,89.6,0.091,6.2
2016-10-21,39.103,7.5,93.8,0.101,7.0
2016-10-22,35.16,6.6,94.0,0.959,11.1
2016-10-23,29.352000000000004,7.1,89.6,1.876,17.6
2016-10-24,7.36,6.3,93.0,1.436,10.3
2016-10-25,39.162000000000006,6.6,90.8,0.089,10.2
2016-10-26,16.34,11.5,83.6,0.198,30.8
2016-10-27,24.145000000000003,12.1,85.0,0.228,34.2
2016-10-28,18.98,9.6,75.8,0.151,25.7
2016-10-29,21.82,9.6,93.1,0.05,15.8
2016-10-30,67.738,11.5,87.1,0.081,18.3
2016-10-31,25.17,11.1,89.3,0.101,13.5
2016-11-09,53.211999999999996,2.8,92.6,2.158,9.8
2016-11-10,39.07,3.4,87.9,4.956,15.7
2016-11-11,54.029,2.8,89.4,0.018,14.7
2016-11-12,14.32,8.1,89.1,3.786,18.3
2016-11-13,31.871000000000002,6.1,93.8,2.462,22.9
2016-11-14,125.996,12.8,91.7,1.381,29.4
2016-11-15,23.67,10.4,81.3,0.081,33.5
2016-11-16,23.115000000000002,6.7,83.5,2.598,38.1
2016-11-17,16.92,3.3,91.0,9.775,24.3
2016-11-18,26.1,0.9,92.8,0.774,12.0
2016-11-20,19.642,-0.2,96.0,0.053,8.5
2016-11-21,38.132000000000005,-1.1,92.5,0.036,24.3
2016-11-22,54.72,4.4,81.4,1.987,26.0
2016-11-23,41.636,-0.8,90.6,0.111,7.4
2016-11-24,14.51,-2.6,91.4,0.053,6.0
2016-11-25,49.397,-1.1,91.8,0.192,11.5
2016-11-26,48.476,2.4,94.4,0.018,7.2
2016-11-27,6.953,4.5,89.5,0.191,10.6
2016-11-28,5.95,2.3,93.0,0.183,7.2
2016-11-29,31.654,5.3,82.4,0.008,23.9
2016-11-30,34.831,7.8,76.7,0.0,24.9
2016-12-09,15.24,10.4,89.6,2.389,27.5
2016-12-10,22.992,8.5,85.4,0.556,32.3
2016-12-11,17.78,8.1,84.8,0.06,24.6
2016-12-12,27.85,6.7,89.4,0.0,10.9
2016-12-13,6.254,4.9,96.2,0.241,11.0
2016-12-14,23.189999999999998,9.2,89.5,1.64,20.9
2016-12-15,3.64,8.0,91.4,0.161,12.1
2016-12-16,22.84,7.3,92.9,2.299,12.2
2016-12-17,34.769,5.7,87.1,0.018,26.1
2016-12-18,69.161,8.2,90.0,0.807,21.9
2016-12-19,33.492,6.1,89.9,0.0,18.7
2016-12-20,30.14,3.0,92.0,0.254,29.4
2016-12-21,38.989999999999995,4.2,87.4,12.203,34.7
2016-12-22,20.935,4.2,87.5,15.401,35.7
2016-12-23,39.12,6.6,83.9,11.828,45.7
2016-12-24,32.65,5.2,85.7,10.1,41.1
2016-12-26,18.044,4.2,81.0,10.371,37.2
2016-12-27,23.759999999999998,5.6,81.5,0.0,23.2
2016-12-28,28.17,6.5,85.2,0.0,19.1
2016-12-29,10.15,7.2,84.2,0.0,27.0
2016-12-30,8.407,11.0,83.5,0.0,31.5
2016-12-31,5.47,9.7,82.6,1.813,39.7
2017-01-02,18.42,1.9,81.2,0.0,18.3
2017-01-03,61.553,7.2,81.0,0.0,30.4
2017-01-04,24.200000000000003,4.0,65.9,0.0,14.7
2017-01-05,41.702,-1.2,85.7,0.01,8.5
2017-01-06,9.617,6.7,92.6,1.229,19.1
2017-01-07,21.03,5.8,96.8,0.209,13.5
2017-01-09,48.449999999999996,6.7,87.5,5.97,35.1
2017-01-10,20.63,7.0,81.7,2.933,35.0
2017-01-11,64.53,5.2,75.2,1.602,50.9
2017-01-12,26.310000000000002,0.7,87.5,0.841,28.0
2017-01-13,23.630000000000003,1.4,73.1,0.494,34.1
2017-01-15,37.926,7.0,94.4,2.473,17.9
2017-01-16,33.36,8.4,92.7,0.41,13.5
2017-01-17,6.759,9.6,93.5,0.053,19.3
2017-01-18,55.67,8.1,85.6,0.016,23.9
2017-01-19,33.72,7.2,83.4,0.0,18.8
2017-01-20,32.36,5.0,89.7,0.01,11.5
2017-01-21,42.129999999999995,1.2,96.8,0.018,6.4
2017-01-22,60.518,1.8,95.5,0.165,13.5
2017-01-23,33.44,3.5,85.9,0.008,13.6
2017-01-24,37.929,8.2,88.2,0.26,25.7
2017-01-25,34.6,8.6,77.3,0.343,29.7
2017-01-26,36.989999999999995,0.7,83.8,0.0,13.5
2017-01-27,34.6,-1.2,89.2,0.044,7.6
2017-01-28,7.86,1.8,96.1,6.593,20.3
2017-01-29,65.25,1.7,91.7,0.444,16.4
2017-01-30,30.682000000000002,1.0,92.8,0.192,12.4
2017-01-31,24.712,6.1,90.8,3.942,16.7
2017-02-01,17.5,6.2,93.2,0.351,13.7
2017-02-02,54.156,9.4,83.2,0.888,29.0
2017-02-03,21.896,8.2,78.2,1.268,30.1
2017-02-04,29.799999999999997,4.8,86.8,7.849,30.4
2017-02-05,18.17,2.9,88.8,1.36,10.6
2017-02-06,60.343,2.0,89.2,0.623,20.7
2017-02-07,5.58,2.8,95.7,14.049,14.2
2017-02-09,16.21,2.3,82.2,0.072,14.7
2017-02-10,17.64,1.1,88.1,1.446,16.3
2017-02-11,21.6,2.5,84.7,1.636,29.7
2017-02-12,53.233000000000004,3.3,78.8,0.793,32.1
2017-02-13,26.503,4.7,86.2,0.43,25.8
2017-02-14,16.88,5.6,83.3,0.0,25.0
2017-02-15,50.814,6.3,90.8,0.094,18.1
2017-02-16,18.85,8.2,85.8,0.846,31.0
2017-02-17,32.59,5.0,92.6,0.155,8.8
2017-02-18,20.601,9.4,87.6,0.874,30.0
2017-02-19,26.994999999999997,9.5,88.1,0.034,29.1
2017-02-20,25.95,10.5,77.3,0.181,39.3
2017-02-21,38.748000000000005,7.9,81.8,0.794,36.2
2017-02-22,30.366999999999997,6.1,72.3,2.573,38.3
2017-02-23,55.63,2.5,91.7,17.72,31.3
2017-02-24,14.2,3.3,86.0,0.488,20.3
2017-02-25,42.45,7.9,84.3,7.305,41.5
2017-02-26,65.503,6.4,85.5,10.539,38.1
2017-02-27,36.863,3.3,80.0,1.966,22.7
2017-02-28,54.994,2.4,78.3,0.034,13.4
2017-03-01,12.681,2.7,78.4,0.01,14.5
2017-03-02,23.19,3.5,78.2,0.152,31.5
2017-03-03,24.349,2.7,88.5,0.153,20.1
2017-03-04,85.424,4.7,96.4,13.167,25.5
2017-03-05,71.618,4.5,92.0,3.593,7.9
2017-03-06,43.81,4.5,89.3,0.689,9.3
2017-03-07,85.20400000000001,4.7,85.0,0.357,18.2
2017-03-09,51.191,7.3,73.1,4.074,26.5
2017-03-10,21.78,5.2,91.2,0.335,7.5
2017-03-11,92.97,9.5,89.8,0.935,18.5
2017-03-12,51.223,8.7,88.9,0.582,19.9
2017-03-13,37.461,8.8,75.9,0.016,30.8
2017-03-14,11.452,9.9,72.1,0.079,52.0
2017-03-15,22.732,8.7,78.3,0.046,34.1
2017-03-17,23.15,6.6,89.7,2.196,32.2
2017-03-18,29.29,7.2,91.5,3.662,16.6
2017-03-19,49.087,9.1,81.6,4.717,33.9
2017-03-20,30.524,5.9,80.5,2.614,36.0
2017-03-21,17.626,2.6,85.0,3.007,36.2
2017-03-22,29.588,1.9,84.9,1.065,32.0
2017-03-23,13.022,5.3,77.4,1.537,28.7
2017-03-24,34.042,5.0,76.9,0.101,15.4
2017-03-25,60.722,8.3,60.6,0.0,15.5
2017-03-26,50.54,6.4,77.1,0.0,14.4
2017-03-27,29.697000000000003,6.4,81.2,0.0,16.7
2017-03-28,62.703,6.7,89.7,0.111,14.1
2017-03-29,50.423,8.3,95.1,2.432,16.4
2017-03-30,23.779,11.7,87.4,1.613,19.0
2017-03-31,59.354,11.7,84.3,5.071,33.5
2017-04-01,29.12,10.5,79.7,2.469,20.2
2017-04-02,33.16,8.3,72.6,0.0,22.0
2017-04-03,34.370000000000005,8.2,79.0,0.221,30.9
2017-04-04,17.810000000000002,9.3,70.4,0.595,33.9
2017-04-05,19.162,9.3,66.5,0.0,27.0
2017-04-06,10.0,9.3,76.0,0.0,28.1
2017-04-07,51.756,9.4,76.6,0.0,20.9
2017-04-09,48.09,8.6,78.8,0.052,29.1
2017-04-10,30.05,8.6,64.5,0.06,27.1
2017-04-11,34.069,9.1,77.1,0.0,41.5
2017-04-12,64.03,9.8,67.2,0.046,33.0
2017-04-15,6.429,6.7,68.1,0.044,27.1
2017-04-16,29.880000000000003,6.1,78.4,1.362,16.9
2017-04-17,16.898,6.7,70.4,0.101,20.8
2017-04-18,18.066,4.0,70.4,0.0,14.2
2017-04-19,16.663,9.4,69.9,0.008,23.3
2017-04-20,22.432000000000002,11.9,76.0,0.008,26.2
2017-04-21,22.22,11.1,71.7,0.421,28.7
2017-04-22,23.55,7.1,62.2,0.0,14.0
2017-04-23,27.477,7.7,68.0,0.0,29.3
2017-04-24,89.192,6.6,61.5,0.374,33.5
2017-04-25,88.06700000000001,4.6,63.6,0.289,28.0
2017-04-26,55.838,5.5,57.9,0.0,13.2
2017-04-27,29.312,9.5,65.2,0.085,21.6
2017-04-28,36.26,7.6,71.4,0.184,13.3
2017-04-29,19.95,9.0,71.7,0.115,20.5
2017-04-30,24.37,10.0,70.6,0.0,35.1
2017-05-01,11.09,9.5,81.2,0.0,26.3
2017-05-02,34.626,9.3,82.0,0.0,19.4
2017-05-03,70.645,10.3,65.7,0.0,27.0
2017-05-04,35.67,8.7,73.1,0.0,32.2
2017-05-06,15.98,9.4,70.1,0.0,26.6
2017-05-07,36.704,10.3,74.2,0.0,18.4
2017-05-09,12.846,10.3,66.8,0.0,23.6
2017-05-10,14.03,8.9,73.7,0.0,20.4
2017-05-11,51.867,9.4,78.1,0.0,22.5
2017-05-12,22.27,9.7,84.4,0.0,21.4
2017-05-13,7.28,10.7,92.1,2.473,28.4
2017-05-14,68.608,13.0,67.2,1.509,26.5
2017-05-15,32.385999999999996,12.1,84.2,6.104,18.8
2017-05-16,28.808,14.6,78.2,2.298,37.5
2017-05-17,26.151,11.6,72.5,0.0,19.7
2017-05-18,21.545,12.3,67.4,0.034,19.0
2017-05-19,18.64,10.3,76.9,0.0,16.3
2017-05-20,28.35,10.2,87.0,5.291,19.6
2017-05-21,47.625,11.3,79.2,0.811,22.4
2017-05-22,22.789,12.4,83.5,0.617,17.6
2017-05-23,29.810000000000002,11.7,81.5,5.301,22.9
2017-05-24,38.187,16.0,82.9,0.347,23.4
2017-05-26,7.923,18.9,74.0,0.0,15.9
2017-05-27,0.39,15.8,85.2,1.287,15.9
2017-05-28,17.613,16.7,77.4,2.682,20.1
2017-05-29,11.754,11.6,85.3,0.263,16.9
2017-05-30,30.546999999999997,12.8,82.2,4.187,32.4
2017-05-31,17.957,12.9,66.7,0.0,15.8
2017-06-01,55.129999999999995,14.6,78.8,0.336,23.5
2017-06-02,29.52,14.6,72.8,0.878,19.1
2017-06-03,25.951999999999998,11.7,77.6,2.249,16.0
2017-06-04,67.09,12.1,74.0,0.658,22.9
2017-06-06,23.923000000000002,11.0,94.0,36.744,18.8
2017-06-07,72.41,12.5,62.7,10.73,30.0
2017-06-09,69.64,13.7,84.5,8.242,24.5
2017-06-10,51.56,14.7,81.4,3.678,24.1
2017-06-11,131.806,14.3,82.4,4.388,28.8
2017-06-12,42.510000000000005,13.5,80.6,2.263,34.7
2017-06-13,9.813,14.4,83.0,0.488,25.4
2017-06-14,15.034,16.4,78.6,0.254,17.2
2017-06-15,27.277,14.5,76.9,2.544,28.7
2017-06-16,11.02,14.1,83.7,0.17,26.0
2017-06-17,23.03,18.8,79.6,0.0,26.3
2017-06-18,13.373000000000001,19.0,77.3,0.0,24.9
2017-06-19,11.602,17.2,79.1,0.0,22.3
2017-06-20,19.292,13.5,81.5,0.0,20.2
2017-06-21,24.338,15.0,89.7,1.096,11.9
2017-06-22,10.534,15.9,83.2,6.703,21.1
2017-06-23,5.21,14.5,75.6,1.248,33.9
2017-06-25,16.611,12.6,70.1,0.715,27.8
2017-06-26,33.762,12.5,76.0,0.008,11.9
2017-06-27,70.68,11.4,92.1,9.061,17.4
2017-06-28,22.979999999999997,12.1,82.8,3.334,25.8
2017-06-29,67.34,11.3,88.4,15.045,18.8
2017-06-30,38.14,13.8,85.8,1.741,16.8
2017-07-01,42.81,14.2,81.0,0.13,32.3
2017-07-02,14.53,13.3,78.0,0.109,28.2
2017-07-03,14.26,13.9,71.4,0.262,21.3
2017-07-04,7.994,11.3,92.5,5.18,17.6
2017-07-05,15.735999999999999,13.4,83.4,0.65,15.4
2017-07-06,33.119,14.8,89.1,1.322,13.7
2017-07-07,26.027,15.5,81.3,0.109,20.7
2017-07-08,9.344,13.7,67.8,0.0,25.4
2017-07-09,24.85,13.6,86.2,3.308,20.8
2017-07-10,2.85,12.0,92.3,5.367,13.3
2017-07-11,132.71,12.7,83.7,0.748,15.3
2017-07-12,42.711,13.9,75.1,0.01,14.5
2017-07-14,7.734,14.1,76.2,0.88,21.3
2017-07-15,10.55,15.8,90.9,1.723,29.7
2017-07-17,60.486999999999995,16.8,69.8,0.0,31.3
2017-07-18,38.811,16.1,77.5,0.0,22.2
2017-07-19,21.111,15.0,89.9,0.0,22.6
2017-07-20,51.662,14.3,81.7,7.427,20.5
2017-07-21,11.4,13.2,86.0,0.218,20.2
