,daily,temp,humidity,precip,windspeed
2018-01-07,14.780999999999999,-3.3,90.1,0.801,6.8
2018-01-08,47.553000000000004,-3.4,89.2,5.507,13.2
2018-01-09,48.212,3.4,89.9,0.111,19.7
2018-01-10,66.318,2.7,96.1,0.303,11.4
2018-01-11,22.915,2.3,95.6,0.008,6.1
2018-01-12,35.858,4.1,88.1,0.01,12.1
2018-02-08,49.744,5.4,89.4,0.501,24.7
2018-02-09,54.988,2.3,80.3,0.313,20.4
2018-02-10,86.958,4.5,86.0,2.153,26.4
2018-02-11,72.326,1.8,78.1,2.484,25.8
2018-02-12,16.987,1.5,85.8,0.416,26.0
2018-03-07,0.294,2.7,91.6,9.018,12.5
2018-03-08,20.491999999999997,2.8,86.6,0.775,18.0
2018-03-09,27.752,3.4,82.1,0.77,28.4
2018-03-10,70.488,3.2,96.3,8.848,24.6
2018-03-11,22.087,5.3,96.2,7.803,8.0
2018-03-12,49.003,5.0,90.8,0.984,7.7
2018-04-07,16.217,9.0,82.5,1.533,15.4
2018-04-08,9.212,8.8,85.0,1.502,13.1
2018-04-09,34.186,7.7,90.5,0.184,16.1
2018-04-10,81.548,5.5,96.1,1.759,28.5
2018-04-11,77.81,5.8,93.3,0.325,23.1
2018-04-12,30.762,5.8,90.6,0.095,28.0
2018-05-07,27.549999999999997,13.7,76.2,0.0,21.1
2018-05-08,43.452,12.2,80.6,0.972,24.2
2018-05-09,11.052999999999999,8.9,83.8,1.515,27.8
2018-05-10,64.301,9.5,71.4,0.935,27.3
2018-05-11,61.74,10.0,70.0,0.032,23.9
2018-05-12,48.348,11.2,71.2,0.866,16.0
2018-05-16,7.170999999999999,10.1,64.3,0.0,16.5
2018-06-07,16.222,13.4,76.9,0.08,16.9
2018-06-08,18.244,13.2,77.5,0.016,14.3
2018-06-09,57.861,13.3,84.7,2.869,15.4
2018-06-10,55.050000000000004,14.5,85.4,0.533,14.9
2018-06-11,35.215,13.1,87.7,0.188,13.5
2018-06-12,140.868,14.2,80.0,0.312,15.9
2018-06-15,17.536,11.9,77.7,0.639,27.9
2018-06-16,51.452,11.9,85.1,7.74,18.6
2018-06-17,58.203,12.2,83.8,0.169,20.2
2018-06-19,2.804,11.9,71.0,0.0,26.6
2018-06-20,32.605000000000004,11.7,81.5,18.679,23.9
2018-06-21,30.721999999999998,12.2,62.8,0.555,23.7
2018-06-22,24.930999999999997,13.2,65.6,0.0,19.7
2018-06-24,5.809,15.6,66.0,0.0,20.8
2018-06-25,21.145,16.4,60.0,0.0,16.4
2018-06-26,32.15,14.2,81.1,0.0,13.1
2018-06-27,59.312,15.6,82.5,0.0,12.3
2018-06-28,24.182000000000002,18.7,73.1,0.0,15.8
2018-06-29,7.141,13.9,86.8,0.0,18.4
2018-06-30,7.197,15.2,76.4,0.0,18.1
2018-07-07,23.188,16.7,70.8,0.0,17.9
2018-07-08,8.827,19.8,70.4,0.0,23.6
2018-07-09,20.87,15.8,79.7,0.339,17.7
2018-07-10,8.776,16.3,72.1,0.016,10.6
2018-07-11,24.888,16.3,79.9,0.362,14.7
2018-07-12,86.573,15.6,83.6,0.244,13.9
2018-07-13,88.52,17.0,80.4,0.247,11.9
2018-07-14,18.668,18.5,69.2,0.03,25.8
2018-07-15,40.522999999999996,18.3,79.4,0.441,18.0
2018-07-16,23.069000000000003,18.0,70.7,0.196,19.9
2018-07-18,4.964,15.7,71.6,0.222,13.0
2018-07-19,10.978000000000002,17.1,63.7,0.0,21.0
2018-07-20,48.748,15.2,88.0,4.198,13.4
2018-07-21,37.730000000000004,17.1,81.2,0.402,22.1
2018-07-22,38.9,18.1,83.4,0.0,25.6
2018-07-23,37.228,19.3,82.5,1.171,26.4
2018-07-24,47.459,16.3,74.5,5.629,22.0
2018-07-26,1.088,18.3,66.4,0.0,18.3
2018-07-27,89.77799999999999,20.3,71.6,0.0,19.2
2018-07-28,20.487,16.1,85.9,8.156,31.6
2018-07-29,39.286,13.9,86.5,10.491,25.0
2018-07-31,30.244,14.4,79.8,2.046,30.8
2018-08-08,28.936,13.4,77.6,0.066,23.0
2018-08-09,25.609,12.8,71.0,0.0,23.6
2018-08-10,55.691,12.1,83.1,0.729,16.6
2018-08-11,64.322,13.5,73.5,0.0,15.0
2018-08-12,98.661,13.8,96.1,9.115,19.2
2018-08-13,38.176,14.4,98.0,4.389,13.4
2018-08-14,55.993,15.6,91.0,2.681,24.7
2018-08-15,83.969,17.0,83.9,1.872,28.4
2018-08-16,9.442,14.1,79.1,1.339,27.3
