,daily,temp,humidity,precip,windspeed
2016-10-10,17.54,6.3,92.0,0.101,12.2
2016-10-11,4.68,9.8,89.0,1.869,21.2
2016-10-12,19.92,9.7,87.7,1.039,17.8
2016-10-13,28.015,9.7,87.6,3.183,23.1
2016-10-15,12.889999999999999,10.4,94.8,4.769,22.1
2016-10-17,16.055,11.1,86.4,3.272,23.9
2016-10-18,33.68,8.6,83.2,6.369,21.3
2016-10-20,22.887999999999998,8.0,89.6,0.091,6.2
2016-10-21,12.11,7.5,93.8,0.101,7.0
2016-10-22,26.939999999999998,6.6,94.0,0.959,11.1
2016-10-24,25.189999999999998,6.3,93.0,1.436,10.3
2016-10-25,14.989999999999998,6.6,90.8,0.089,10.2
2016-10-26,15.82,11.5,83.6,0.198,30.8
2016-10-27,50.51,12.1,85.0,0.228,34.2
2016-10-28,14.53,9.6,75.8,0.151,25.7
2016-10-29,6.67,9.6,93.1,0.05,15.8
2016-10-30,29.78,11.5,87.1,0.081,18.3
2016-11-10,48.01,3.4,87.9,4.956,15.7
2016-11-11,22.19,2.8,89.4,0.018,14.7
2016-11-13,39.621,6.1,93.8,2.462,22.9
2016-11-14,14.1,12.8,91.7,1.381,29.4
2016-11-15,4.39,10.4,81.3,0.081,33.5
2016-11-17,28.310000000000002,3.3,91.0,9.775,24.3
2016-11-19,56.495999999999995,0.8,92.8,0.331,14.5
2016-11-20,23.05,-0.2,96.0,0.053,8.5
2016-11-21,61.181999999999995,-1.1,92.5,0.036,24.3
2016-11-22,7.41,4.4,81.4,1.987,26.0
2016-11-24,13.6,-2.6,91.4,0.053,6.0
2016-11-25,9.009,-1.1,91.8,0.192,11.5
2016-11-26,76.938,2.4,94.4,0.018,7.2
2016-11-27,10.01,4.5,89.5,0.191,10.6
2016-11-28,11.3,2.3,93.0,0.183,7.2
2016-11-29,6.92,5.3,82.4,0.008,23.9
2016-11-30,17.55,7.8,76.7,0.0,24.9
2016-12-10,10.42,8.5,85.4,0.556,32.3
2016-12-11,17.33,8.1,84.8,0.06,24.6
2016-12-12,19.78,6.7,89.4,0.0,10.9
2016-12-13,3.27,4.9,96.2,0.241,11.0
2016-12-14,20.71,9.2,89.5,1.64,20.9
2016-12-15,11.82,8.0,91.4,0.161,12.1
2016-12-16,34.413,7.3,92.9,2.299,12.2
2016-12-17,7.89,5.7,87.1,0.018,26.1
2016-12-21,33.949999999999996,4.2,87.4,12.203,34.7
2016-12-23,10.29,6.6,83.9,11.828,45.7
2016-12-24,48.7,5.2,85.7,10.1,41.1
2016-12-26,5.54,4.2,81.0,10.371,37.2
2016-12-29,5.94,7.2,84.2,0.0,27.0
2016-12-30,13.55,11.0,83.5,0.0,31.5
2017-01-02,17.03,1.9,81.2,0.0,18.3
2017-01-03,36.26,7.2,81.0,0.0,30.4
2017-01-04,12.299999999999999,4.0,65.9,0.0,14.7
2017-01-05,6.19,-1.2,85.7,0.01,8.5
2017-01-06,28.41,6.7,92.6,1.229,19.1
2017-01-07,12.35,5.8,96.8,0.209,13.5
2017-01-08,20.02,8.8,92.1,0.119,23.5
2017-01-10,60.099999999999994,7.0,81.7,2.933,35.0
2017-01-11,22.689999999999998,5.2,75.2,1.602,50.9
2017-01-12,17.09,0.7,87.5,0.841,28.0
2017-01-15,16.4,7.0,94.4,2.473,17.9
2017-01-16,59.804,8.4,92.7,0.41,13.5
2017-01-17,60.4,9.6,93.5,0.053,19.3
2017-01-19,36.095,7.2,83.4,0.0,18.8
2017-01-21,24.47,1.2,96.8,0.018,6.4
2017-01-22,3.79,1.8,95.5,0.165,13.5
2017-01-24,17.48,8.2,88.2,0.26,25.7
2017-01-25,22.75,8.6,77.3,0.343,29.7
2017-01-26,63.400000000000006,0.7,83.8,0.0,13.5
2017-01-27,44.884,-1.2,89.2,0.044,7.6
2017-01-28,6.01,1.8,96.1,6.593,20.3
2017-01-29,24.5,1.7,91.7,0.444,16.4
2017-01-30,59.246,1.0,92.8,0.192,12.4
2017-01-31,10.59,6.1,90.8,3.942,16.7
2017-02-01,27.729999999999997,6.2,93.2,0.351,13.7
2017-02-03,24.057,8.2,78.2,1.268,30.1
2017-02-04,25.7,4.8,86.8,7.849,30.4
2017-02-05,5.31,2.9,88.8,1.36,10.6
2017-02-06,15.19,2.0,89.2,0.623,20.7
2017-02-07,3.48,2.8,95.7,14.049,14.2
2017-02-08,1.27,3.3,89.8,0.276,13.6
2017-02-09,14.75,2.3,82.2,0.072,14.7
2017-02-10,5.5,1.1,88.1,1.446,16.3
2017-02-11,18.34,2.5,84.7,1.636,29.7
2017-02-12,61.126000000000005,3.3,78.8,0.793,32.1
2017-02-13,11.6,4.7,86.2,0.43,25.8
2017-02-14,13.9,5.6,83.3,0.0,25.0
2017-02-16,22.950000000000003,8.2,85.8,0.846,31.0
2017-02-17,15.5,5.0,92.6,0.155,8.8
2017-02-18,28.64,9.4,87.6,0.874,30.0
2017-02-19,39.589999999999996,9.5,88.1,0.034,29.1
2017-02-22,14.43,6.1,72.3,2.573,38.3
2017-02-23,4.98,2.5,91.7,17.72,31.3
2017-02-26,46.671,6.4,85.5,10.539,38.1
2017-02-27,18.759999999999998,3.3,80.0,1.966,22.7
2017-02-28,6.21,2.4,78.3,0.034,13.4
2017-03-01,2.4,2.7,78.4,0.01,14.5
2017-03-02,19.1,3.5,78.2,0.152,31.5
2017-03-03,2.18,2.7,88.5,0.153,20.1
2017-03-04,67.3,4.7,96.4,13.167,25.5
2017-03-06,10.577,4.5,89.3,0.689,9.3
2017-03-08,51.968,7.2,83.0,2.431,41.3
2017-03-09,7.978999999999999,7.3,73.1,4.074,26.5
2017-03-10,22.92,5.2,91.2,0.335,7.5
2017-03-11,36.783,9.5,89.8,0.935,18.5
2017-03-12,33.209999999999994,8.7,88.9,0.582,19.9
2017-03-13,47.370999999999995,8.8,75.9,0.016,30.8
2017-03-14,2.842,9.9,72.1,0.079,52.0
2017-03-16,20.798000000000002,8.2,78.8,0.745,41.0
2017-03-18,6.13,7.2,91.5,3.662,16.6
2017-03-20,20.17,5.9,80.5,2.614,36.0
2017-03-21,4.56,2.6,85.0,3.007,36.2
2017-03-23,10.5,5.3,77.4,1.537,28.7
2017-03-24,6.53,5.0,76.9,0.101,15.4
2017-03-27,3.45,6.4,81.2,0.0,16.7
2017-03-30,13.9,11.7,87.4,1.613,19.0
2017-03-31,30.38,11.7,84.3,5.071,33.5
2017-04-01,26.64,10.5,79.7,2.469,20.2
2017-04-02,2.56,8.3,72.6,0.0,22.0
2017-04-03,13.14,8.2,79.0,0.221,30.9
2017-04-04,125.506,9.3,70.4,0.595,33.9
2017-04-05,4.18,9.3,66.5,0.0,27.0
2017-04-06,48.31999999999999,9.3,76.0,0.0,28.1
2017-04-07,57.72,9.4,76.6,0.0,20.9
2017-04-08,46.668,9.6,71.1,0.0,20.7
2017-04-09,13.9,8.6,78.8,0.052,29.1
2017-04-10,23.484,8.6,64.5,0.06,27.1
2017-04-11,59.1,9.1,77.1,0.0,41.5
2017-04-12,21.798000000000002,9.8,67.2,0.046,33.0
2017-04-13,46.160000000000004,7.8,72.3,0.058,26.7
2017-04-14,3.097,7.9,77.6,0.521,24.2
2017-04-15,33.05,6.7,68.1,0.044,27.1
2017-04-16,5.18,6.1,78.4,1.362,16.9
