,daily,temp,humidity,precip,windspeed
2016-10-03,18.26,8.2,84.2,0.044,14.9
2016-10-04,17.65,11.4,85.8,0.0,17.5
2016-10-05,17.92,12.6,77.5,0.0,24.6
2016-10-06,15.73,10.5,80.7,0.0,23.6
2016-10-07,19.81,11.4,81.3,0.0,17.8
2016-10-09,47.85,7.5,87.8,0.146,9.3
2016-10-10,106.078,6.3,92.0,0.101,12.2
2016-10-11,38.91,9.8,89.0,1.869,21.2
2016-10-13,35.61,9.7,87.6,3.183,23.1
2016-10-14,66.62,10.1,90.0,6.466,17.6
2016-10-15,43.847,10.4,94.8,4.769,22.1
2016-10-16,53.907,9.4,90.5,1.714,18.1
2016-10-17,61.11,11.1,86.4,3.272,23.9
2016-10-18,38.81,8.6,83.2,6.369,21.3
2016-10-19,79.886,9.1,84.0,0.045,11.4
2016-10-20,79.01100000000001,8.0,89.6,0.091,6.2
2016-10-21,38.980000000000004,7.5,93.8,0.101,7.0
2016-10-22,46.5,6.6,94.0,0.959,11.1
2016-10-23,70.947,7.1,89.6,1.876,17.6
2016-10-24,55.163999999999994,6.3,93.0,1.436,10.3
2016-10-25,80.50999999999999,6.6,90.8,0.089,10.2
2016-10-26,114.983,11.5,83.6,0.198,30.8
2016-10-27,75.82,12.1,85.0,0.228,34.2
2016-10-28,96.472,9.6,75.8,0.151,25.7
2016-10-29,26.866999999999997,9.6,93.1,0.05,15.8
2016-10-30,68.881,11.5,87.1,0.081,18.3
2016-11-01,19.59,5.9,81.4,4.077,14.2
2016-11-02,17.5,5.5,81.2,0.01,14.4
2016-11-03,17.44,6.7,91.1,0.714,18.5
2016-11-04,19.17,5.5,85.1,0.472,15.5
2016-11-05,15.85,5.0,71.1,0.246,21.8
2016-11-07,18.53,4.4,74.4,0.0,14.2
2016-11-08,19.5,2.9,82.7,0.12,9.6
2016-11-09,49.29,2.8,92.6,2.158,9.8
2016-11-10,63.423,3.4,87.9,4.956,15.7
2016-11-11,55.57,2.8,89.4,0.018,14.7
2016-11-12,37.811,8.1,89.1,3.786,18.3
2016-11-13,30.82,6.1,93.8,2.462,22.9
2016-11-14,48.730000000000004,12.8,91.7,1.381,29.4
2016-11-15,30.560000000000002,10.4,81.3,0.081,33.5
2016-11-16,50.954,6.7,83.5,2.598,38.1
2016-11-17,28.79,3.3,91.0,9.775,24.3
2016-11-18,123.57,0.9,92.8,0.774,12.0
2016-11-20,12.55,-0.2,96.0,0.053,8.5
2016-11-21,69.97,-1.1,92.5,0.036,24.3
2016-11-22,24.49,4.4,81.4,1.987,26.0
2016-11-23,28.66,-0.8,90.6,0.111,7.4
2016-11-24,39.14,-2.6,91.4,0.053,6.0
2016-11-25,20.44,-1.1,91.8,0.192,11.5
2016-11-26,16.02,2.4,94.4,0.018,7.2
2016-11-27,30.11,4.5,89.5,0.191,10.6
2016-11-28,8.49,2.3,93.0,0.183,7.2
2016-11-29,27.29,5.3,82.4,0.008,23.9
2016-11-30,34.08,7.8,76.7,0.0,24.9
2016-12-01,13.66,9.3,72.0,0.0,23.8
2016-12-02,19.04,4.2,93.0,0.0,8.4
2016-12-05,19.25,-2.8,96.8,0.0,4.4
2016-12-06,17.5,1.2,98.7,0.312,6.8
2016-12-07,16.48,12.0,89.6,5.061,37.5
2016-12-08,19.67,9.9,88.7,1.029,28.0
2016-12-09,30.439999999999998,10.4,89.6,2.389,27.5
2016-12-10,41.730999999999995,8.5,85.4,0.556,32.3
2016-12-11,34.34,8.1,84.8,0.06,24.6
2016-12-12,44.14,6.7,89.4,0.0,10.9
2016-12-13,7.6,4.9,96.2,0.241,11.0
2016-12-14,35.150000000000006,9.2,89.5,1.64,20.9
2016-12-15,26.773,8.0,91.4,0.161,12.1
2016-12-16,55.509,7.3,92.9,2.299,12.2
2016-12-17,27.53,5.7,87.1,0.018,26.1
2016-12-18,25.480000000000004,8.2,90.0,0.807,21.9
2016-12-19,36.620000000000005,6.1,89.9,0.0,18.7
2016-12-20,31.61,3.0,92.0,0.254,29.4
2016-12-21,18.959999999999997,4.2,87.4,12.203,34.7
2016-12-22,40.19,4.2,87.5,15.401,35.7
2016-12-23,19.71,6.6,83.9,11.828,45.7
2016-12-24,21.910000000000004,5.2,85.7,10.1,41.1
2016-12-25,17.82,10.1,84.9,1.553,42.0
2016-12-27,34.46,5.6,81.5,0.0,23.2
2016-12-28,35.711000000000006,6.5,85.2,0.0,19.1
2016-12-29,40.766,7.2,84.2,0.0,27.0
2016-12-30,59.94499999999999,11.0,83.5,0.0,31.5
2016-12-31,47.435,9.7,82.6,1.813,39.7
2017-01-01,17.71,3.2,77.1,1.706,22.7
2017-01-02,41.022,1.9,81.2,0.0,18.3
2017-01-03,18.97,7.2,81.0,0.0,30.4
2017-01-04,63.25,4.0,65.9,0.0,14.7
2017-01-05,43.59,-1.2,85.7,0.01,8.5
2017-01-06,41.81,6.7,92.6,1.229,19.1
2017-01-07,80.625,5.8,96.8,0.209,13.5
2017-01-08,48.349999999999994,8.8,92.1,0.119,23.5
2017-01-09,34.307,6.7,87.5,5.97,35.1
2017-01-10,59.8,7.0,81.7,2.933,35.0
2017-01-11,18.61,5.2,75.2,1.602,50.9
2017-01-12,76.25800000000001,0.7,87.5,0.841,28.0
2017-01-13,43.260000000000005,1.4,73.1,0.494,34.1
2017-01-14,22.694000000000003,1.5,82.2,0.008,17.6
2017-01-15,32.976,7.0,94.4,2.473,17.9
2017-01-16,45.561,8.4,92.7,0.41,13.5
2017-01-17,22.28,9.6,93.5,0.053,19.3
2017-01-18,36.692,8.1,85.6,0.016,23.9
2017-01-19,46.66,7.2,83.4,0.0,18.8
2017-01-20,56.948,5.0,89.7,0.01,11.5
2017-01-21,12.305,1.2,96.8,0.018,6.4
2017-01-22,60.757999999999996,1.8,95.5,0.165,13.5
2017-01-23,16.67,3.5,85.9,0.008,13.6
2017-01-24,41.230000000000004,8.2,88.2,0.26,25.7
2017-01-25,55.864000000000004,8.6,77.3,0.343,29.7
2017-01-26,21.361,0.7,83.8,0.0,13.5
2017-01-27,30.619,-1.2,89.2,0.044,7.6
2017-01-28,25.15,1.8,96.1,6.593,20.3
2017-01-29,14.46,1.7,91.7,0.444,16.4
2017-01-30,30.143,1.0,92.8,0.192,12.4
2017-01-31,26.93,6.1,90.8,3.942,16.7
2017-02-01,9.26,6.2,93.2,0.351,13.7
2017-02-02,23.68,9.4,83.2,0.888,29.0
2017-02-04,25.888,4.8,86.8,7.849,30.4
2017-02-05,20.42,2.9,88.8,1.36,10.6
2017-02-06,78.361,2.0,89.2,0.623,20.7
2017-02-07,72.31,2.8,95.7,14.049,14.2
2017-02-08,13.0,3.3,89.8,0.276,13.6
2017-02-09,45.751999999999995,2.3,82.2,0.072,14.7
2017-02-10,33.426,1.1,88.1,1.446,16.3
2017-02-11,36.980000000000004,2.5,84.7,1.636,29.7
2017-02-12,38.801,3.3,78.8,0.793,32.1
2017-02-13,30.323,4.7,86.2,0.43,25.8
2017-02-14,56.592,5.6,83.3,0.0,25.0
2017-02-15,49.049,6.3,90.8,0.094,18.1
2017-02-16,79.964,8.2,85.8,0.846,31.0
2017-02-17,54.388000000000005,5.0,92.6,0.155,8.8
2017-02-18,51.942,9.4,87.6,0.874,30.0
2017-02-19,19.746,9.5,88.1,0.034,29.1
2017-02-20,5.645,10.5,77.3,0.181,39.3
2017-02-22,4.242,6.1,72.3,2.573,38.3
2017-02-23,13.089,2.5,91.7,17.72,31.3
2017-02-24,25.785,3.3,86.0,0.488,20.3
2017-02-25,23.62,7.9,84.3,7.305,41.5
2017-02-26,32.29,6.4,85.5,10.539,38.1
2017-02-27,32.608999999999995,3.3,80.0,1.966,22.7
2017-02-28,29.8,2.4,78.3,0.034,13.4
2017-03-02,26.92,3.5,78.2,0.152,31.5
2017-03-04,20.796,4.7,96.4,13.167,25.5
2017-03-05,23.349999999999998,4.5,92.0,3.593,7.9
2017-03-06,19.74,4.5,89.3,0.689,9.3
2017-03-07,134.179,4.7,85.0,0.357,18.2
2017-03-08,29.92,7.2,83.0,2.431,41.3
2017-03-09,41.614000000000004,7.3,73.1,4.074,26.5
2017-03-10,57.47,5.2,91.2,0.335,7.5
2017-03-11,70.914,9.5,89.8,0.935,18.5
2017-03-12,68.957,8.7,88.9,0.582,19.9
2017-03-24,5.01,5.0,76.9,0.101,15.4
2017-03-25,31.077,8.3,60.6,0.0,15.5
2017-03-26,54.427,6.4,77.1,0.0,14.4
2017-03-27,22.58,6.4,81.2,0.0,16.7
2017-03-28,15.33,6.7,89.7,0.111,14.1
2017-03-29,35.53,8.3,95.1,2.432,16.4
2017-03-30,25.26,11.7,87.4,1.613,19.0
2017-03-31,22.324,11.7,84.3,5.071,33.5
2017-04-01,20.29,10.5,79.7,2.469,20.2
2017-04-02,40.131,8.3,72.6,0.0,22.0
2017-04-03,14.77,8.2,79.0,0.221,30.9
2017-04-04,12.89,9.3,70.4,0.595,33.9
2017-04-05,135.715,9.3,66.5,0.0,27.0
2017-04-06,100.86,9.3,76.0,0.0,28.1
2017-04-07,99.167,9.4,76.6,0.0,20.9
2017-04-08,80.97,9.6,71.1,0.0,20.7
2017-04-09,5.05,8.6,78.8,0.052,29.1
2017-04-10,35.980000000000004,8.6,64.5,0.06,27.1
2017-04-11,68.351,9.1,77.1,0.0,41.5
2017-04-12,25.778,9.8,67.2,0.046,33.0
2017-04-13,18.979000000000003,7.8,72.3,0.058,26.7
2017-04-14,53.595,7.9,77.6,0.521,24.2
2017-04-15,51.697,6.7,68.1,0.044,27.1
2017-04-16,8.06,6.1,78.4,1.362,16.9
2017-04-17,59.0,6.7,70.4,0.101,20.8
2017-04-18,47.1,4.0,70.4,0.0,14.2
2017-04-19,22.37,9.4,69.9,0.008,23.3
2017-04-20,31.14,11.9,76.0,0.008,26.2
2017-04-21,47.86,11.1,71.7,0.421,28.7
2017-04-22,88.674,7.1,62.2,0.0,14.0
2017-04-23,53.51,7.7,68.0,0.0,29.3
2017-04-24,90.505,6.6,61.5,0.374,33.5
2017-04-25,28.137,4.6,63.6,0.289,28.0
2017-04-26,94.462,5.5,57.9,0.0,13.2
2017-04-27,36.83,9.5,65.2,0.085,21.6
2017-04-28,53.43,7.6,71.4,0.184,13.3
2017-04-29,74.517,9.0,71.7,0.115,20.5
2017-04-30,30.413,10.0,70.6,0.0,35.1
2017-05-01,51.095000000000006,9.5,81.2,0.0,26.3
2017-05-02,53.964,9.3,82.0,0.0,19.4
2017-05-03,17.57,10.3,65.7,0.0,27.0
2017-05-05,72.25399999999999,8.9,70.3,0.0,29.1
2017-05-06,5.43,9.4,70.1,0.0,26.6
2017-05-07,99.01599999999999,10.3,74.2,0.0,18.4
2017-05-08,173.961,8.7,66.2,0.0,26.0
2017-05-09,41.910000000000004,10.3,66.8,0.0,23.6
2017-05-10,62.272000000000006,8.9,73.7,0.0,20.4
2017-05-11,60.42,9.4,78.1,0.0,22.5
