,daily,temp,humidity,precip,windspeed
2016-10-06,0.0,10.5,80.7,0.0,23.6
2016-10-08,7.01,10.5,83.8,0.0,15.8
2016-10-09,92.229,7.5,87.8,0.146,9.3
2016-10-11,59.72,9.8,89.0,1.869,21.2
2016-10-12,96.639,9.7,87.7,1.039,17.8
2016-10-13,46.492999999999995,9.7,87.6,3.183,23.1
2016-10-14,20.009999999999998,10.1,90.0,6.466,17.6
2016-10-15,55.697,10.4,94.8,4.769,22.1
2016-10-16,32.27,9.4,90.5,1.714,18.1
2016-10-17,23.902,11.1,86.4,3.272,23.9
2016-10-18,57.431,8.6,83.2,6.369,21.3
2016-10-19,34.56,9.1,84.0,0.045,11.4
2016-10-20,98.965,8.0,89.6,0.091,6.2
2016-10-21,35.84,7.5,93.8,0.101,7.0
2016-10-22,66.48,6.6,94.0,0.959,11.1
2016-10-23,71.44,7.1,89.6,1.876,17.6
2016-10-24,75.682,6.3,93.0,1.436,10.3
2016-10-25,38.888000000000005,6.6,90.8,0.089,10.2
2016-10-26,82.594,11.5,83.6,0.198,30.8
2016-10-27,37.38,12.1,85.0,0.228,34.2
2016-10-28,44.92,9.6,75.8,0.151,25.7
2016-10-29,35.33,9.6,93.1,0.05,15.8
2016-10-30,37.234,11.5,87.1,0.081,18.3
2016-10-31,5.041,11.1,89.3,0.101,13.5
2016-11-09,39.171,2.8,92.6,2.158,9.8
2016-11-10,27.67,3.4,87.9,4.956,15.7
2016-11-11,17.372,2.8,89.4,0.018,14.7
2016-11-12,12.94,8.1,89.1,3.786,18.3
2016-11-13,74.896,6.1,93.8,2.462,22.9
2016-11-14,21.849,12.8,91.7,1.381,29.4
2016-11-15,37.47,10.4,81.3,0.081,33.5
2016-11-17,23.625,3.3,91.0,9.775,24.3
2016-11-18,11.76,0.9,92.8,0.774,12.0
2016-11-19,107.705,0.8,92.8,0.331,14.5
2016-11-20,58.77,-0.2,96.0,0.053,8.5
2016-11-21,15.87,-1.1,92.5,0.036,24.3
2016-11-22,14.11,4.4,81.4,1.987,26.0
2016-11-23,50.213,-0.8,90.6,0.111,7.4
2016-11-24,24.028,-2.6,91.4,0.053,6.0
2016-11-25,21.517,-1.1,91.8,0.192,11.5
2016-11-26,51.804,2.4,94.4,0.018,7.2
2016-11-27,38.335,4.5,89.5,0.191,10.6
2016-11-28,28.359,2.3,93.0,0.183,7.2
2016-11-29,41.34,5.3,82.4,0.008,23.9
2016-11-30,50.688,7.8,76.7,0.0,24.9
2016-12-09,45.069,10.4,89.6,2.389,27.5
2016-12-10,30.784000000000002,8.5,85.4,0.556,32.3
2016-12-11,42.963,8.1,84.8,0.06,24.6
2016-12-12,51.805,6.7,89.4,0.0,10.9
2016-12-13,108.00699999999999,4.9,96.2,0.241,11.0
2016-12-14,54.019999999999996,9.2,89.5,1.64,20.9
2016-12-15,47.652,8.0,91.4,0.161,12.1
2016-12-16,13.18,7.3,92.9,2.299,12.2
2016-12-17,49.88,5.7,87.1,0.018,26.1
2016-12-18,42.082,8.2,90.0,0.807,21.9
2016-12-19,34.885,6.1,89.9,0.0,18.7
2016-12-20,62.66,3.0,92.0,0.254,29.4
2016-12-21,105.344,4.2,87.4,12.203,34.7
2016-12-22,37.133,4.2,87.5,15.401,35.7
2016-12-23,33.909,6.6,83.9,11.828,45.7
2016-12-24,22.29,5.2,85.7,10.1,41.1
2016-12-25,24.6,10.1,84.9,1.553,42.0
2016-12-26,79.10000000000001,4.2,81.0,10.371,37.2
2016-12-27,98.566,5.6,81.5,0.0,23.2
2016-12-28,62.18000000000001,6.5,85.2,0.0,19.1
2016-12-29,49.94,7.2,84.2,0.0,27.0
2016-12-30,65.52000000000001,11.0,83.5,0.0,31.5
2016-12-31,45.355,9.7,82.6,1.813,39.7
2017-01-02,29.509999999999998,1.9,81.2,0.0,18.3
2017-01-03,32.17,7.2,81.0,0.0,30.4
2017-01-04,27.23,4.0,65.9,0.0,14.7
2017-01-05,6.1,-1.2,85.7,0.01,8.5
2017-01-06,33.93,6.7,92.6,1.229,19.1
2017-01-07,71.374,5.8,96.8,0.209,13.5
2017-01-08,24.15,8.8,92.1,0.119,23.5
2017-01-09,40.64,6.7,87.5,5.97,35.1
2017-01-10,5.85,7.0,81.7,2.933,35.0
2017-01-11,26.41,5.2,75.2,1.602,50.9
2017-01-12,74.77000000000001,0.7,87.5,0.841,28.0
2017-01-13,17.889,1.4,73.1,0.494,34.1
2017-01-14,111.31,1.5,82.2,0.008,17.6
2017-01-15,21.75,7.0,94.4,2.473,17.9
2017-01-16,48.166,8.4,92.7,0.41,13.5
2017-01-17,33.379999999999995,9.6,93.5,0.053,19.3
2017-01-18,35.89,8.1,85.6,0.016,23.9
2017-01-19,41.602000000000004,7.2,83.4,0.0,18.8
2017-01-20,16.65,5.0,89.7,0.01,11.5
2017-01-21,61.992,1.2,96.8,0.018,6.4
2017-01-22,31.619999999999997,1.8,95.5,0.165,13.5
2017-01-23,23.23,3.5,85.9,0.008,13.6
2017-01-24,53.239999999999995,8.2,88.2,0.26,25.7
2017-01-25,99.51,8.6,77.3,0.343,29.7
2017-01-26,19.625,0.7,83.8,0.0,13.5
2017-01-27,17.807000000000002,-1.2,89.2,0.044,7.6
2017-01-28,72.2,1.8,96.1,6.593,20.3
2017-01-29,75.78800000000001,1.7,91.7,0.444,16.4
2017-01-30,54.555,1.0,92.8,0.192,12.4
2017-01-31,37.88,6.1,90.8,3.942,16.7
2017-02-01,20.135,6.2,93.2,0.351,13.7
2017-02-02,28.03,9.4,83.2,0.888,29.0
2017-02-03,10.04,8.2,78.2,1.268,30.1
2017-02-04,45.39,4.8,86.8,7.849,30.4
2017-02-05,49.24,2.9,88.8,1.36,10.6
2017-02-07,73.42,2.8,95.7,14.049,14.2
2017-02-08,16.91,3.3,89.8,0.276,13.6
2017-02-09,19.369999999999997,2.3,82.2,0.072,14.7
2017-02-10,48.010000000000005,1.1,88.1,1.446,16.3
2017-02-11,84.55,2.5,84.7,1.636,29.7
2017-02-12,82.328,3.3,78.8,0.793,32.1
2017-02-13,38.44,4.7,86.2,0.43,25.8
2017-02-14,11.23,5.6,83.3,0.0,25.0
2017-02-15,33.620000000000005,6.3,90.8,0.094,18.1
2017-02-16,58.730000000000004,8.2,85.8,0.846,31.0
2017-02-17,18.91,5.0,92.6,0.155,8.8
2017-02-18,63.335,9.4,87.6,0.874,30.0
2017-02-19,11.094,9.5,88.1,0.034,29.1
